research_id,dependency_id,person_name,service_intervals,name_variants,query_family,saved_result_files,source_review_finding,unresolved_fact,search_date,completion_status
V5W7R002,sabino-2025-nov-return,Celso Sabino / Ana Carla Machado Lopes,2025-11-14/2025-11-17,Celso Sabino;Celso Sabino de Oliveira;Ana Carla Machado Lopes,Actual Orla ceremony; original parliamentary notification; official Secom/EBC performed ministerial interview,research/refinement_v5/worker_7_lula_dates/RESEARCH.md;research/refinement_v5/worker_7_lula_dates/sources/orla_reproduction.html;research/refinement_v5/worker_7_lula_dates/sources/dcd20251118_p14.png;research/refinement_v5/worker_7_lula_dates/sources/web_15.json,"Retain Nov14-Nov17 candidates and primaryNov17. The Nov14 Orla ceremony is now retrospectively verified, improving the earlier scheduled-only evidence, but an event at one time cannot exclude a later same-day closing-state handoff. The Nov15 weekly recap does not date the quoted remarks independently. Original Chamber dispatch explicitly makes parliamentary leave effective at notificationNov17 19h36, not ministerial possession. Official Secom/EBC reporting proves ministerial exercise on the morning of17, independently supporting that latest bound. Decree13/publication14 and expectedreturn14 remain admissible; no exact handoff record excludes dates14-16.","Exact closing-state return among November14,15,16,17 remains unresolved.",2026-09-10,date_bounds_retained_with_stronger_actual_event_evidence
V5W6-search-person-20d6d1c35408,person-20d6d1c35408,Rogério Marinho,2020-02-11/2022-03-31,Rogerio Simonetti Marinho;Rogério Marinho,Official TSE scoped historical membership fields; identity records; public client source semantics; official parliamentary affiliation chronology; targeted contemporary positive and departure reports,research/refinement_v5/worker_6_bolsonaro_affiliations/RESEARCH.md;research/refinement_v5/worker_6_bolsonaro_affiliations/sources/mercopress_20200615.html,"Marinho dated positive observations now include explicit May4 Veja affiliated-to-PSDB and June15 MercoPress belongs-to-PSDB; the latter expressly separates personal membership from party sponsorship. They corroborate June19 CNN few-days-earlier departure over February2021 retrospective February2020 and June28 column three-month-lag claims. Narrow departure to June16–18 inclusive using next day after latest positive report and day before completed-earlier-departure announcement; primary remains June18 under existing convention. This is a contemporary-report date adjudication, not an exact TSE exit certificate. June20 reproductions of personal and PSDB/RN president statements confirm completed consensual withdrawal, outweighing later Senado parliamentary timeline extending PSDB to November29 2021. Official TSE confirms PL entry November30 2021, not earlier PSDB withdrawal. Retain all conflicting observations; current PSDB non-match cannot date the departure.",Exact PSDB exit within June16–18 2020 remains unavailable; narrowed bounds are contemporary-report adjudication.,2026-09-10,narrowed_date_bounds
V5W6-search-person-87ad75f8d2f9,person-87ad75f8d2f9,Damares Alves,2019-01-01/2022-03-31,Damares Regina Alves;Damares Alves,Official TSE scoped historical membership fields; identity records; public client source semantics; official parliamentary affiliation chronology; targeted contemporary positive and departure reports,research/refinement_v5/worker_6_bolsonaro_affiliations/RESEARCH.md;research/refinement_v5/worker_6_bolsonaro_affiliations/sources/web_006.json,"Damares PP at January2019 entry is corroborated by two contemporary accounts expressly describing affiliation since1995, not by later Republicanos membership. BBC September3 2020 current PP statement advances the last supported positive observation beyond August26. Combined with September20 completed-earlier-departure report, narrow admissible daily exit to September4–19 inclusive; retain primary September19 by existing latest-admissible convention. Subsequent2021 PP labels and O Globo2022 retrospective2021 departure year remain outweighed by contemporary completed2020 departure. Official TSE historical Republicanos entry March28 2022 confirms existing later transition; Senado October2 election-day entry is not used. Current PP non-match supplies no withdrawal date.",Exact PP exit within September4–19 2020 remains unavailable.,2026-09-10,narrowed_date_bounds
completion-search-paulo-pedrosa,person-paulo-pedrosa,Paulo Pedrosa,2016-10-10/2016-10-11;2016-10-25/2016-10-26;2017-04-26/2017-04-27;2017-08-02/2017-08-03;2017-10-18/2017-10-26;2018-04-06/2018-04-10,Paulo Pedrosa;Paulo Jerônimo Bandeira de Mello Pedrosa;Paulo Jeronimo Bandeira de Mello Pedrosa,name variants + office + service years + partido/sem partido/filiação/desfiliação/expulsão/sucessão/interino; results also screened for wrong-person and wrong-subject matches,research/completion/web_015.txt;research/completion/web_017.txt;research/completion/web_018.txt;research/completion/web_019.txt;research/completion/web_023.txt;research/completion/web_050.txt;research/completion/web_075.txt;research/completion/web_083.txt;research/completion/web_085.txt;research/completion/web_102.txt;research/completion/web_103.txt;research/completion/web_105.txt;research/completion/web_117.txt;research/completion/web_122.txt;research/completion/web_195.txt;research/completion/web_220.txt;research/completion/web_245.txt;research/completion/web_254.txt;research/completion/web_307.txt;research/completion/web_308.txt;research/completion/web_309.txt;research/completion/web_310.txt;research/completion/web_311.txt;research/completion/web_312.txt;research/completion/web_313.txt;research/completion/web_314.txt;research/completion/web_315.txt;research/completion/web_316.txt,"Preserve unresolved personal status between PSDB and UNAFFILIATED, rather than claim an exact departure date. Agencia Estado on November 22 1997 identifies Pedrosa as national PSDB executive secretary; contemporaneous February 21 2018 specialist reporting explicitly describes him as a former card-carrying tucano, connecting the same person to his subsequent Aneel and MME career. The January 22 2019 profile connects his departure from party politics before Aneel to his 2016-18 ministry service; November 14 2019 reporting retrospectively describes the ministry executive team under his command as apartidarios. The latter collective description is weaker than a personal affiliation certificate and does not establish the date of formal departure. These sources nevertheless bound the supported alternatives to continued PSDB affiliation or non-affiliation during the six service spells. Targeted searches for a new affiliation, departure or denial found no specific other-party event; PCdoB results concern a different cultural official. The alternatives are a documented historical adjudication, not a proof of every imaginable affiliation. Other qualifying ministers must independently represent PSDB throughout each spell before the builder can establish the aggregate; the personal record remains UNKNOWN. Formal vacancy service under C041 remains included, with no invented continuity of the departed titular.",Exact personal status and departure date remain unresolved between PSDB and non-affiliation; aggregate resolution requires independent PSDB witnesses,2026-09-10,personal_uncertainty_retained_finite_alternatives_adjudicated
completion-search-helder-melillo-lopes-cunha-silva,person-helder-melillo-lopes-cunha-silva,Helder Melillo Lopes Cunha Silva,2022-12-30/2023-01-01,Helder Melillo,"name variants + office + service years + partido/sem partido/filiação/desfiliação/expulsão/sucessão/interino; results also screened for wrong-person and wrong-subject matches; official public TSE application enums, record template, departure-form serialization and notice",research/completion/web_102.txt;research/completion/web_103.txt;research/completion/web_105.txt;research/completion/web_266.txt;research/completion/web_287.txt;research/followup_bolsonaro_affiliations/HELDER_ADJUDICATION.md;research/followup_bolsonaro_affiliations/tse_df_58.json;research/refinement_v5/worker_5_bolsonaro_2022/RESEARCH.md;research/refinement_v5/worker_5_bolsonaro_2022/sources/fetch_manifest.json,"Official TSE public client resolves cdMotivoDesfiliacao=2 as A pedido do eleitor, distinct from Expulsao=1 and Judicial=10. The same record-detail template binds the reason field through that enum and separately displays dtDesfiliacao and tsCadastroDesfiliacao. The party departure form sends its chosen date as dtDesfiliacao and warns that reason-2 departure is effectuated after elector notice to the electoral court. Thus a bare populated dtDesfiliacao does not by itself prove completed judicial termination. Retain the exact-identity NOVO entry 2017-10-28, dtDesfiliacao 2021-02-03, REGULAR status 1, pending marker 1, null cancellation/exclusion and null tsCadastroDesfiliacao. The decoded reason is a recorded request category, not independent proof of the signed request or court receipt. Historical migration and actual court-notice date remain unverified; primary NOVO and the credible UNAFFILIATED alternative both remain for December 30-31 2022. C071 is retained as the earlier research state, superseded here only on the decoded code and directly observed client field mapping.",Court-notice/effective termination date and historical migration remain unverified; reason 2 is now decoded as A pedido do eleitor.,2026-09-10,primary_adjudicated_with_set_changing_alternative
completion-search-defense-2021,office:gap-C049-defense,,2021-03-30/2021-04-01,Walter Souza Braga Netto;Fernando Azevedo e Silva;Almir Garnier Santos;Laerte de Souza Santos,Defesa março 2021 ministro interino/substituto posse termo responsabilidade,research/completion/web_001.txt;research/completion/web_003.txt;research/completion/web_004.txt;research/completion/web_007.txt;research/completion/web_022.txt;research/completion/web_025.txt;research/completion/web_031.txt;research/completion/web_033.txt;research/completion/web_036.txt;research/completion/web_037.txt;research/completion/web_042.txt;research/completion/web_044.txt;research/completion/web_047.txt;research/completion/web_048.txt;research/completion/web_049.txt;research/completion/web_052.txt;research/completion/web_053.txt;research/completion/web_061.txt;research/completion/web_064.txt;research/completion/web_065.txt;research/completion/web_067.txt;research/completion/web_068.txt;research/completion/web_069.txt;research/completion/web_070.txt;research/completion/web_078.txt;research/completion/web_082.txt;research/completion/web_090.txt;research/completion/web_095.txt;research/completion/web_096.txt;research/completion/web_102.txt;research/completion/web_103.txt;research/completion/web_104.txt;research/completion/web_105.txt;research/completion/web_107.txt;research/completion/web_112.txt;research/completion/web_114.txt;research/completion/web_115.txt;research/completion/web_116.txt;research/completion/web_118.txt;research/completion/web_119.txt;research/completion/web_123.txt;research/completion/web_131.txt;research/completion/web_139.txt;research/completion/web_141.txt;research/completion/web_144.txt;research/completion/web_146.txt;research/completion/web_149.txt;research/completion/web_154.txt;research/completion/web_157.txt;research/completion/web_158.txt;research/completion/web_161.txt;research/completion/web_163.txt;research/completion/web_164.txt;research/completion/web_172.txt;research/completion/web_173.txt;research/completion/web_174.txt;research/completion/web_175.txt;research/completion/web_177.txt;research/completion/web_179.txt;research/completion/web_181.txt;research/completion/web_189.txt;research/completion/web_197.txt;research/completion/web_207.txt;research/completion/web_212.txt;research/completion/web_213.txt;research/completion/web_214.txt;research/completion/web_216.txt;research/completion/web_217.txt;research/completion/web_218.txt;research/completion/web_221.txt;research/completion/web_225.txt;research/completion/web_227.txt;research/completion/web_228.txt;research/completion/web_231.txt;research/completion/web_232.txt;research/completion/web_236.txt;research/completion/web_263.txt;research/completion/web_264.txt;research/completion/web_268.txt;research/completion/web_280.txt;research/completion/web_282.txt;research/completion/web_283.txt;research/completion/web_287.txt;research/completion/web_288.txt;research/completion/web_302.txt;research/followup_succession_justice_foreign/defense_adjudication.json;research/followup_succession_justice_foreign/defense_sources.json,"Multiple contemporary records establish Braga Netto exercising direction of the Defense Ministry after his published appointment on March30: the official commanders succession meeting, an official ministerial audience, and substantive rewriting and publishing of ministry policy. Therefore select actual effective service March30 under the existing effective-service convention. Retain the signed April1 possession term as a formal-administrative date discrepancy. Do not invent a vacancy occupant from another military post and do not treat the later paperwork as proof no appointed minister exercised the ministry earlier.",Signed-possession versus observed-effective-service discrepancy retained; no unsupported vacancy is inferred.,2026-09-10,resolved_actual_service_adjudication
completion-search-ana-carla-machado-lopes,person-ana-carla-machado-lopes,Ana Carla Machado Lopes,2023-12-04/2023-12-06;2024-12-03/2024-12-06;2025-10-08/2025-10-09;2025-11-13/2025-11-17;2025-12-19/2025-12-23,Ana Carla Machado Lopes;Ana Carla Lopes,official succession + personal affiliation/non-affiliation + public TSE DF and Belem historical-date records + 2025 departure/party reporting + historical official SGIP PSDB governing-body query + actual-event and original parliamentary dispatch review,research/followup_succession_justice_foreign/sabino_vacancy_successions.csv;research/followup_succession_justice_foreign/sabino_date_conflicts.json;research/followup_bolsonaro_affiliations/TSE_TARGET_SCAN_SUMMARY.json;research/followup_root/web_registry_06.json;research/followup_root/web_registry_07.json;research/followup_root/web_registry_12.json;research/followup_bolsonaro_affiliations/HISTORICAL_SNAPSHOT_FINDINGS.md;research/followup_root/filiaweb_2016_names.json;research/followup_succession_justice_foreign/ana_carla_psdb_2016_target_assertion.json;research/followup_succession_justice_foreign/ana_carla_official_cv_web_assertion.txt;research/followup_succession_justice_foreign/ana_carla_alepa_20190211.pdf;research/refinement_v5/worker_7_lula_dates/sources/sgip_scan_summary.json;research/refinement_v5/worker_7_lula_dates/RESEARCH.md,"The explicitly dated July27 2016 Filiaweb historical copy of TSE records lists the exact rare full name Ana Carla Machado Lopes in PSDB at Belem/PA, with entry October2 2013. Identity is adjudicated from full name, Para legal/professional history in the official MTur curriculum, and the official2019 ALEPA roster naming the same person as PSDB leadership chief of staff. The employment is an identity corroborator, not the membership evidence: the historical affiliation row supplies that fact. Apply the declared forward-continuity rule from the positive dated membership through her independently documented vacancy services. Targeted searches found no specific subsequent personal resignation, expulsion, new affiliation or general non-affiliation statement. The2025 statement that she was not affiliated to Uniao is consistent with PSDB and does not imply no party. Current TSE municipal-list non-matches do not establish a departure. This is a historical observation plus continuity and contextual identity adjudication, not a current certificate or an exact identifier match; source age and its own update warning remain explicit. Do not invent a non-affiliation alternative merely from absent current data. The five office interruptions do not create five personal affiliation events; one continuous affiliation spell supports the five service spells. Sabino return-date alternatives remain separately set-changing for PSDB representation. V5 targeted review: historical TSE SGIP returned27 PSDB governing bodies and1131 officer entries without a target match; its partial officer universe adds no negative affiliation evidence. C075 historical PSDB observation and continuity are retained without a certification upgrade. The Nov14 ceremony is now retrospectively verified, and original Chamber notice and Secom/EBC Nov17 actual ministerial reporting improve the service chronology provenance; closing-state return bounds remain unchanged.",,2026-09-10,resolved_historical_observation_with_identity_and_continuity_adjudication
V5W6-search-person-1c11e767f427,person-1c11e767f427,Adolfo Sachsida,2022-05-11/2023-01-01,Adolfo Sachsida,Official TSE scoped historical membership fields; identity records; public client source semantics; official parliamentary affiliation chronology; targeted contemporary positive and departure reports,research/refinement_v5/worker_6_bolsonaro_affiliations/RESEARCH.md;research/refinement_v5/worker_6_bolsonaro_affiliations/sources/tse_DF_72.json,"Supersede C061/R26 residual UNAFFILIATED alternative for Sachsida. Exact identifier in TCU bulletin matches the TSE official UNIAO record, whose historical entry is May27 2013, status REGULAR, no departure/cancellation/exclusion and no pending marker. MME identifies the same public officeholder. Together with independently dated2017 DEM membership, the unchanged historical entry in successor registry directly supports continuing predecessor membership through February8 2022 merger and ministerial service. Atlas sfp and Spanish/German historical no-party labels remain retained conflicting source assertions, but no longer credible competing trajectories against exact-person official historical record. Academic2024 DEM label remains obsolete and non-independent. This does not call the2026 extract a contemporaneous2022 certificate or prove arbitrary unrecorded events impossible; apply declared historical-observation continuity with targeted contradictory-event search, now backed by registry evidence. No service dates changed.",,2026-09-10,resolved_official_registry_historical_membership
completion-search-mario-ramos-ribeiro,person-mario-ramos-ribeiro,Mário Ramos Ribeiro,2018-04-06/2018-04-10,Mario Ramos Ribeiro;Mário Ramos Ribeiro,name variants + office + service years + partido/sem partido/filiação/desfiliação/expulsão/sucessão/interino; results also screened for wrong-person and wrong-subject matches,research/completion/web_122.txt;research/completion/web_126.txt;research/completion/web_133.txt;research/completion/web_140.txt;research/completion/web_146.txt;research/completion/web_153.txt;research/completion/web_270.txt;research/followup_root/tse_PA_4563_56.json;research/followup_root/mario_identity_verification.json,"The official TSE public affiliation record explicitly dates personal PSDB affiliation to 1997-01-31, with regular status and no recorded departure or cancellation. This is a historical event field in a later registry observation, not backward projection of an undated current party label. Identity is matched to the named cabinet officeholder using the official government identifier verification retained alongside the extract. Apply documented continuity from that dated membership to the qualifying service; targeted contrary-event searches found no specific conflicting personal change. Registry non-matches for other people are not non-affiliation evidence. The derived registry extract retains only scoped public officeholder records and source-query response hashes.",,2026-09-10,resolved_official_registry_historical_membership
completion-search-wallace-nunes-da-silva,person-wallace-nunes-da-silva,Wallace Nunes da Silva,2023-07-14/2023-07-18,Wallace Nunes da Silva;Wallace Nunes,name variants + office + service years + partido/sem partido/filiação/desfiliação/expulsão/sucessão/interino; results also screened for wrong-person and wrong-subject matches,research/completion/web_039.txt;research/completion/web_041.txt;research/completion/web_085.txt;research/completion/web_091.txt;research/completion/web_092.txt;research/completion/web_097.txt;research/completion/web_196.txt;research/completion/web_269.txt;research/followup_root/tse_RJ_6865_72.json;research/followup_root/wallace_identity_verification.json,"The official TSE public affiliation record explicitly dates personal UNIAO affiliation to 2022-03-20, with regular status and no recorded departure or cancellation. This is a historical event field in a later registry observation, not backward projection of an undated current party label. Identity is matched to the named cabinet officeholder using the official government identifier verification retained alongside the extract. Apply documented continuity from that dated membership to the qualifying service; targeted contrary-event searches found no specific conflicting personal change. Registry non-matches for other people are not non-affiliation evidence. The derived registry extract retains only scoped public officeholder records and source-query response hashes.",,2026-09-10,resolved_official_registry_historical_membership
