decision_id,disposition,evidence_ids,rationale,alternatives
V5W5D001,refine_registry_reason_semantics_retain_alternative,V5W5E001,"Official TSE public client resolves cdMotivoDesfiliacao=2 as A pedido do eleitor, distinct from Expulsao=1 and Judicial=10. The same record-detail template binds the reason field through that enum and separately displays dtDesfiliacao and tsCadastroDesfiliacao. The party departure form sends its chosen date as dtDesfiliacao and warns that reason-2 departure is effectuated after elector notice to the electoral court. Thus a bare populated dtDesfiliacao does not by itself prove completed judicial termination. Retain the exact-identity NOVO entry 2017-10-28, dtDesfiliacao 2021-02-03, REGULAR status 1, pending marker 1, null cancellation/exclusion and null tsCadastroDesfiliacao. The decoded reason is a recorded request category, not independent proof of the signed request or court receipt. Historical migration and actual court-notice date remain unverified; primary NOVO and the credible UNAFFILIATED alternative both remain for December 30-31 2022. C071 is retained as the earlier research state, superseded here only on the decoded code and directly observed client field mapping.","[""NOVO"",""UNAFFILIATED""]"
V5W6D02,narrowed_bounded_departure_date,V5W6E03;V5W6E07;V5W6E09;V5W6E10;AFF-013;BOL-E01;BOL-E02;AFF-015,"Damares PP at January2019 entry is corroborated by two contemporary accounts expressly describing affiliation since1995, not by later Republicanos membership. BBC September3 2020 current PP statement advances the last supported positive observation beyond August26. Combined with September20 completed-earlier-departure report, narrow admissible daily exit to September4–19 inclusive; retain primary September19 by existing latest-admissible convention. Subsequent2021 PP labels and O Globo2022 retrospective2021 departure year remain outweighed by contemporary completed2020 departure. Official TSE historical Republicanos entry March28 2022 confirms existing later transition; Senado October2 election-day entry is not used. Current PP non-match supplies no withdrawal date.","[""PP"",""UNAFFILIATED""]"
C027,completion_adjudication,C027,"The no-party notation has been inspected under C026. Piaui explicitly describes Galvao in his 2016 secretary-general role as tucano, which may describe political alignment rather than formal membership. Do not turn this into a resolved personal party claim. Retain the two evidence-backed alternatives and let the builder prove aggregate neutrality using other PSDB officeholders throughout his qualifying 2017 interim service.","[""PSDB"",""UNAFFILIATED""]"
C067,personal_uncertainty_bounded_for_aggregate_adjudication,C067,"Preserve unresolved personal status between PSDB and UNAFFILIATED, rather than claim an exact departure date. Agencia Estado on November 22 1997 identifies Pedrosa as national PSDB executive secretary; contemporaneous February 21 2018 specialist reporting explicitly describes him as a former card-carrying tucano, connecting the same person to his subsequent Aneel and MME career. The January 22 2019 profile connects his departure from party politics before Aneel to his 2016-18 ministry service; November 14 2019 reporting retrospectively describes the ministry executive team under his command as apartidarios. The latter collective description is weaker than a personal affiliation certificate and does not establish the date of formal departure. These sources nevertheless bound the supported alternatives to continued PSDB affiliation or non-affiliation during the six service spells. Targeted searches for a new affiliation, departure or denial found no specific other-party event; PCdoB results concern a different cultural official. The alternatives are a documented historical adjudication, not a proof of every imaginable affiliation. Other qualifying ministers must independently represent PSDB throughout each spell before the builder can establish the aggregate; the personal record remains UNKNOWN. Formal vacancy service under C041 remains included, with no invented continuity of the departed titular.","[""PSDB"",""UNAFFILIATED""]"
V5W6D03,narrowed_bounded_departure_date,V5W6E04;V5W6E05;V5W6E06;V5W6E08;V5W6E09;V5W6E10;AFF-024;BOL-E12;BOL-E13,"Marinho dated positive observations now include explicit May4 Veja affiliated-to-PSDB and June15 MercoPress belongs-to-PSDB; the latter expressly separates personal membership from party sponsorship. They corroborate June19 CNN few-days-earlier departure over February2021 retrospective February2020 and June28 column three-month-lag claims. Narrow departure to June16–18 inclusive using next day after latest positive report and day before completed-earlier-departure announcement; primary remains June18 under existing convention. This is a contemporary-report date adjudication, not an exact TSE exit certificate. June20 reproductions of personal and PSDB/RN president statements confirm completed consensual withdrawal, outweighing later Senado parliamentary timeline extending PSDB to November29 2021. Official TSE confirms PL entry November30 2021, not earlier PSDB withdrawal. Retain all conflicting observations; current PSDB non-match cannot date the departure.","[""PSDB"",""UNAFFILIATED""]"
C005,completion_adjudication,C005,"Apply the same forward-continuity rule used for affiliated incumbents after targeted departure/expulsion searches. No documented departure was found. Retain conflicting Spanish cabinet compilation no-party label as person-level alternative; PT has independent witnesses throughout, so uncertainty is composition-neutral.","[""PT"",""UNAFFILIATED""]"
C061,completion_adjudication,C061,"Retain the reasoned primary continuity from explicit 2017 personal DEM membership, corroborated by a historical 2024 study explicitly labelling his ministerial service DEM. Apply merger identity at February 8 2022. The study uses legacy labels and is not an independent certificate. Atlas sfp and Spanish/German historical unaffiliated labels remain credible contrary assertions without a known personal departure date. Retain UNAFFILIATED as an alternative for the entire 2022 service. The alternative removes UNIAO because other witnesses had left; the minister cannot mask his own uncertainty.","[""UNIAO"",""UNAFFILIATED""]"
R26,adjudicated_positive_continuity,LEG-5b2c802041f5;AFF-044;BOL-E07;BOL-E08;C061,"Primary continuity adjudication retained, with explicit contrary historical sources and set-changing alternative preserved by C061. No claim that the personal affiliation dispute was conclusively resolved.","[""UNIAO"",""UNAFFILIATED""]"
BOL-A01,bounded_change_aggregate_masking,AFF-028;AFF-029;AFF-030;AFF-044;BOL-E14;BOL-E15;BOL-E16,"Douranews directly reports completed membership byMarch4 and separates later ceremony; contemporary March31 report explicitly confirms ceremony remained unheld. Give actual-status report priority over future ceremony plans. Choose latest March4 within documented March change bound beginningMarch1. Pontes provides União untilMarch27 and Ciro PP, so this bounded personal event should be aggregate-masked where those witnesses exist.",[]
BOL-A02,forward_no_party_continuity,LEG-ce9aa704d046,"Inherited original-entry table explicitly nonparty and documented applicable active-service status corroborate June2019 state. Portfolio transfers do not reset personal history; targeted changes search found no dated affiliation. Retain no-party forward after retirement by continuity, not by military prohibition.",[]
BOL-A03,include_scoped_nonparty_service,OFF-019;OFF-020;OFF-021;OFF-022;BOL-E10,"Explicit incoming no-party roster supports status, continued after targeted search. Include BCB President only until LC179 effective2021-02-25; office eligibility ending is not personal dismissal.",[]
C001,completion_adjudication,C001,Specific personal membership statement at accession outweighs Atlas PR and the HiperNoticias shorthand PR label; no evidence of joining or leaving PR was found. July 2018 explicit no-party roster corroborates forward continuity. Not an inferred disaffiliation event.,[]
C002,completion_adjudication,C002,"Historical cabinet service-table assertion, not a blank or a generic current biography. September 2023 reporting corroborates status. Targeted searches found no dated contrary personal affiliation; accept historical compilation with declared continuity, without claiming an entry-day certificate.",[]
C003,completion_adjudication,C003,"This explicit historical label covers the recorded service, unlike a blank or later current status. SouGov confirms identity and service career only. Targeted full-name affiliation searches found no contradiction; no inference from the technical career.",[]
C004,completion_adjudication,C004,Accept explicit completed historical service label; endpoint remains separately adjudicated by succession evidence. Searches for membership and affiliation found career/patronage reports but no contrary personal membership.,[]
C006,completion_adjudication,C006,Party reports receipt and acceptance that morning. Replaces the broad October–December baseline; later parliamentary notice is not the membership event.,[]
C007,completion_adjudication,C007,"Contemporary accession report and photograph identify the minister, separately from his father. Add MDB change without new service. DEM starts at the existing exclusive service end, so does not back-project into cabinet service.",[]
C008,completion_adjudication,C008,"Explicit contemporary statement says he continued one month after asking to leave. Institutional history ends tenure 24 July, successor entered 25 July. Correct request-versus-departure confusion.",[]
C009,completion_adjudication,C009,Use published effective appointment/dismissal boundary absent distinct documented entry. Atlas sfp observation belongs to accession; no backward affiliation inference to the decree signature date.,[]
C010,completion_adjudication,C010,"Possession and work preceded the public ceremony; corroborated by official responsibility roll. PP has independent continuous witnesses, so no false transition.",[]
C011,completion_adjudication,C011,The September 10 announcement did not end service that day. The contemporary report specifies return on Thursday 12; the parliamentary licence and DOU agree. The special ministry loses qualifying status September 12. The subsequent subordinate secretariat is outside scope.,[]
C012,completion_adjudication,C012,"A formal appointment after Helton Yomura left the office qualifies as vacancy replacement. This is simultaneous officeholding by the existing MDB minister, and therefore composition-neutral. The source explicitly distinguishes this appointment from his continuing Casa Civil portfolio.",[]
C014,completion_adjudication,C014,"The inspected historical cabinet table explicitly labels this named tenure Independiente. It is a retrospective tenure assertion, not a blank cell or a later biographical label. Targeted Portuguese full-name, affiliation, departure and party searches found no specific contradictory personal membership event. Accept a secondary-source primary adjudication; do not infer non-affiliation from profession or political sponsorship. Errors found in other rows are adjudicated individually, not inherited. Evidence strength remains secondary and is recorded separately from exact service dates.",[]
C015,completion_adjudication,C015,"The inspected historical cabinet table explicitly labels this named tenure Independiente. It is a retrospective tenure assertion, not a blank cell or a later biographical label. Targeted Portuguese full-name, affiliation, departure and party searches found no specific contradictory personal membership event. Accept a secondary-source primary adjudication; do not infer non-affiliation from profession or political sponsorship. Errors found in other rows are adjudicated individually, not inherited. Evidence strength remains secondary and is recorded separately from exact service dates. The July 11 2018 explicit non-affiliation directory independently corroborates the later part of the same continuing appointment; the earlier portion is supported by the historical table, not backward projection of that July observation.",[]
C016,completion_adjudication,C016,"The inspected historical cabinet table explicitly labels this named tenure Independiente. It is a retrospective tenure assertion, not a blank cell or a later biographical label. Targeted Portuguese full-name, affiliation, departure and party searches found no specific contradictory personal membership event. Accept a secondary-source primary adjudication; do not infer non-affiliation from profession or political sponsorship. Errors found in other rows are adjudicated individually, not inherited. Evidence strength remains secondary and is recorded separately from exact service dates.",[]
C017,completion_adjudication,C017,"The inspected historical cabinet table explicitly labels this named tenure Independiente. It is a retrospective tenure assertion, not a blank cell or a later biographical label. Targeted Portuguese full-name, affiliation, departure and party searches found no specific contradictory personal membership event. Accept a secondary-source primary adjudication; do not infer non-affiliation from profession or political sponsorship. Errors found in other rows are adjudicated individually, not inherited. Evidence strength remains secondary and is recorded separately from exact service dates.",[]
C018,completion_adjudication,C018,"The inspected historical cabinet table explicitly labels this named tenure Independiente. It is a retrospective tenure assertion, not a blank cell or a later biographical label. Targeted Portuguese full-name, affiliation, departure and party searches found no specific contradictory personal membership event. Accept a secondary-source primary adjudication; do not infer non-affiliation from profession or political sponsorship. Errors found in other rows are adjudicated individually, not inherited. Evidence strength remains secondary and is recorded separately from exact service dates.",[]
C019,completion_adjudication,C019,"The inspected historical cabinet table explicitly labels this named tenure Independiente. It is a retrospective tenure assertion, not a blank cell or a later biographical label. Targeted Portuguese full-name, affiliation, departure and party searches found no specific contradictory personal membership event. Accept a secondary-source primary adjudication; do not infer non-affiliation from profession or political sponsorship. Errors found in other rows are adjudicated individually, not inherited. Evidence strength remains secondary and is recorded separately from exact service dates.",[]
C020,completion_adjudication,C020,"The AGU historical row explicitly says Independiente for April 2020 to March 2021. Accept the specific retrospective tenure assertion after Portuguese affiliation searches. Do not project it back to the distinct 2017 Justice tenure, which remains a separate unresolved record.",[]
C021,completion_adjudication,C021,Use publication December 8 absent evidence of an earlier effective possession. December 4 resignation reporting and December 7 signature are not equivalent to this boundary. Atlas sfp describes Ramalho cabinet tenure with a one-day entry-date discrepancy; the explicit historical Independiente tenure corroborates non-affiliation for the corrected tenure. This is not a party change between December 8 and 9.,[]
C022,completion_adjudication,C022,"The German historical cabinet explicitly labels Victor Godoy parteilos from March 29. Atlas sfp describes the same tenure but its entry is March 30. Retain non-affiliation for the independently supported service interval, rather than fabricate a one-day unknown affiliation. These are retrospective tenure assertions; no personal switch is documented on March 30.",[]
C023,completion_adjudication,C023,"April 7 transfer of functions and June 10 explicit report that the ministerial post was vacant support a vacancy through abolition on October 5. Retain the legal office lifespan, record functions assigned to the vice presidency, and do not add a ministerial appointment for the vice president. This is an adjudicated vacancy, not an unknown substitute inferred from an empty source cell.",[]
C024,completion_adjudication,C024,Contemporary reports distinguish Friday announcement from Monday publication and possession. Incumbents continue to the legal replacement/abolition boundary. Remove invented pre-transformation service by incoming ministers at offices to which they were never appointed. Preserve those input assertions as excluded records. The already confirmed non-affiliation of Vitor Chaves and party affiliations of departing ministers continue through the corrected endpoint.,[]
C025,completion_adjudication,C025,"Accept explicit historical non-affiliation statement, rather than a blank cell or inference from professional career. Portuguese biography and affiliation/departure searches found no specific contrary personal-membership event. This is secondary compilation evidence, not a registry certificate; retain source-specific errors elsewhere without treating the table as an automatic override.",[]
C026,completion_adjudication,C026,"Reviewed the pinned tables cell by cell. In the Partido column a deliberately populated dash is the tables' no-party notation (e.g. Medina Osorio, Goldfajn, Torquato Jardim, Valter Casimiro; and Guedes, Moro, Mendonca, Vogel). Blank cells are separately present for Bianco and Dantas and are not assigned this meaning. This is an adjudication of source notation, not a rule converting every dash in every source to non-affiliation. Specific contrary cases (Yomura, Sachsida, later biography labels) are adjudicated separately. The row asserts the historical officeholder's status; targeted full-name and variant affiliation/change searches did not establish a contrary dated personal affiliation. Retain weaker compilation basis and notation ambiguity in residual uncertainty; no inference from a technical or military career.",[]
C028,completion_adjudication,C028,"Full names establish identity. The unusually named Presidency PDF contains the Temer SG responsibility entries; content, not URL folder title, establishes its temporal relevance. Pedro Cesar Nunes Ferreira Marques de Sousa is the Brazilian officeholder, not a Portuguese homonym. Maria Estella Dantas Antonichelli signs the December 2022 ministerial record; her party field remains unknown.",[]
C029,completion_adjudication,C029,Direct personal denial covers membership in every party. It precedes the March 2015 vacancy replacement within continuous senior Secom service. Full-name and variant searches found no later affiliation/departure event; the journalist response expressly disclaims alleging formal party membership. Do not confuse Bocorny Messias with former Ibama head Roberto Messias Franco.,[]
C030,completion_adjudication,C030,Publication and possession both occurred December 21. No resignation or separately established interruption before that date. Retain Barbosa through formal succession; his already recorded non-affiliation is continuous across the transfer.,[]
C031,completion_adjudication,C031,"Lula is retained for actual service March 17 and excluded after the court interruption March 18. Chiavon, the continuing designated substitute, already signed as minister on March 18; the published signature and succession evidence jointly establish vacancy service. Her historical PT row covers that same continuous interim tenure, not a new affiliation on March 22.",[]
C032,completion_adjudication,C032,"A source-specific record boundary is not a personal affiliation change. Remove only same-state, same-party contained duplicate slices introduced by extending the earlier supported affiliation to October 5; merge all evidence IDs into the covering record. Original rows remain in preservation and raw assertions.",[]
C033,completion_adjudication,C033,Inclusive last day June 1 converts to exclusive June 2; preserve explicit historical non-affiliation with tenure continuity.,[]
C034,completion_adjudication,C034,Use publication date for Marun departure. Add Sobral acting December 31 under documented deputy succession; personal affiliation remains unresolved. Later MDB description is not a dated 2018 certificate.,[]
C035,completion_adjudication,C035,"Formal parliamentary interruptions count, unlike routine administrative delegations. Ivani designated deputy covers vacant intervals. The Presidência PDF has an erroneous Itamar header and omits earlier Imbassahy segment; use only its explicit return and interruption dates, cross-checked with contemporaneous report. PMDB employment and homonymous party registrants do not establish Ivani affiliation.",[]
C036,completion_adjudication,C036,Official responsibility roll explicitly separates appointment dates and actual substitution periods. Add vacancy actor; do not infer personal non-affiliation from technical service.,[]
C037,completion_adjudication,C037,Stop Daniel service on publication. Successor personal identity and service through December 31 remain a completion dependency; do not carry Daniel through a documented dismissal.,[]
C038,completion_adjudication,C038,"Designated deputy succession into vacancy July 14 until Sabino actual entry July 18. The blank personal-party field is not evidence of non-affiliation; affiliation remains a blocker. Signature is corroboration of succession, not proof of departure of a still-appointed incumbent.",[]
C039,completion_adjudication,C039,Retain Célio through December 31; news publication date is not the effective date. Do not add Sobral as a cabinet replacement before the handover.,[]
C040,completion_adjudication,C040,Use publication/effective boundary February 20; maintain PSDB affiliation through remaining continuous service February 19.,[]
C041,completion_adjudication,C041,"Separate appointment announcement from published and actual transfer April 10. Add designated deputy Paulo Pedrosa only in documented vacancies, not routine travel/signatures. Personal affiliation unknown; do not confuse the energy engineer with a homonymous PCdoB cultural official.",[]
C042,completion_adjudication,C042,Contemporaneous May 15 report corroborates retrospective Reuters start. June designation and September titular ceremony are later status changes during continuing service. Historical explicit non-affiliation extends to the corrected first day.,[]
C043,completion_adjudication,C043,The old table end June 20 is an inclusive last day. Convert it to exclusive June 21; existing explicit unaffiliated status continues through the corrected day.,[]
C044,completion_adjudication,C044,"Retrospective source explicitly identifies historical two-day service, not a backward inference from the 2024 appointment. Personal affiliation not established; add named officeholding and retain separate unknown affiliation.",[]
C045,completion_adjudication,C045,Retain titular through June 16. Publication on June 17 establishes departure and Alberto Alves succession. No new party transition from correcting a request date.,[]
C046,completion_adjudication,C046,"Mendonça dismissal April 6 plus designated executive secretary and acting minister acts of April 6/9 establish vacancy service to Rossieli possession April 10. Folhapress expressly describes her personal PSDB affiliation. Signature is corroboration of a separately documented vacancy, not proof that a continuing titular was interrupted.",[]
C047,completion_adjudication,C047,"November 18 resignation request did not itself dismiss Calero. Decree signed November 21 and published November 22; Freire possessed November 23. Presidency lists Mariana Ribas da Silva designated substitute July 8-December 16 2016. Reconstruct one-day vacancy replacement. Her direct 2019 statement that PSDB was her first affiliation explicitly describes preceding non-affiliation, rather than back-projecting later PSDB membership.",[]
C048,completion_adjudication,C048,"Poder360 explicitly dates actual interim assumption March 28. Godoy was the continuing executive secretary when Milton Ribeiro was formally dismissed March 28. Use actual vacancy assumption, distinguishing March 29 signature and March 30 publication. Explicit historical no-party coding supports this tenure; no new affiliation event is invented.",[]
C049,completion_adjudication,C049,"Retain departing ministers until published dismissal March 30. Braga Netto actual Defense possession April 1 is documented by signed term attached to REC 9/2021, superseding both announcement March 29 and collective ceremony April 6. Remaining intervals before actual possession require designated vacancy replacements; they are not silently filled by outgoing titular continuity.",[]
C050,completion_adjudication,C050,A newly created office can be legally vacant pending first possession. This differs from omitting a successor to an occupied ministry. Communications creation June 10 and Faria first possession June 17; Gabinete Pessoal ministerial status March 16 and Wagner first possession March 17; Culture recreation May 23 and Calero first possession May 24. No prior titular in those specific new office lifespans is displaced; administrative support and subordinate secretariats do not establish another minister.,[]
C051,completion_adjudication,C051,Executive secretary identified independently by institutional reporting; acting-minister acts dated April 9 corroborate actual vacant-office replacement after Helder departure April 6 and before Pádua possession April 10. Name/office/party and affiliation searches did not yield a temporally relevant personal affiliation; preserve UNKNOWN rather than infer MDB from patronage.,[]
C052,completion_adjudication,C052,"Publication April 6 supersedes compiled April 7 end. Colnago was continuing executive secretary and appointed titular April 10. Reconstruct vacancy replacement April 6-10. Historical compilation explicitly identifies his 2018 service as independent and dates it April 8; carry that historical status across this bounded same-office assumption interval, recorded as adjudicated and composition-neutral, not an exact affiliation event.",[]
C054,completion_adjudication,C054,"DOU minister-substitute acts identify Welington Coimbra and cite his designation of February 14 2019. Contemporary February reporting confirms that Lelo (legal name Welington) remained the ministry deputy and MDB member through Onyx possession February 18, before requesting departure February 20. Reconstruct designated vacancy replacement after Terra dismissal February 14. This is an adjudicated four-day succession, not a separately retrieved four-day term. Pellini was executive secretary but not the designated minister substitute.",[]
C055,completion_adjudication,C055,"The official March news archive identifies the continuing executive secretary immediately before Wagner departure; the DOU confirms her designated substitute capacity. Reconstruct her one-day vacancy service before Lula possession March 17; she resumed following the judicial suspension March 18. Her historical PT affiliation supports this bounded earlier start in the same uninterrupted executive-secretary tenure. Retain date adjudication; PT is independently represented, so this succession cannot change the party set.",[]
C056,completion_adjudication,C056,"Decrees published April 28 supersede compiled April 27 departure. Official Portaria 147 dated April 28 and Portaria 156 dated April 29 identify Renato de Lima França as AGU substitute. Include his vacancy replacement through Levi possession, retaining April 29 closing-state entry for Levi. No contemporaneous personal affiliation has been established for Renato; searches and political-adviser employment cannot establish non-affiliation.",[]
C057,completion_adjudication,C057,February 14 extra DOU names Marcos Paulo signing as Casa Civil minister substitute. His executive-secretary appointment February 7 and dismissal March 3 bracket the vacancy between Onyx formal departure and Braga possession. Preserve UNKNOWN affiliation: police career and subsequent adviser roles do not determine personal party membership.,[]
C058,completion_adjudication,C058,"The March 31 extra DOU dismissal of Funarte president is attributed to executive secretary and acting Casa Civil head Sergio Jose Pereira. Together with designated-substitute acts before the reshuffle, this establishes replacement in the separately documented vacancy after Braga departure March 30 and before Ramos possession April 1. His personal affiliation is not inferred from military service.",[]
C059,completion_adjudication,C059,"DOU March 30 identifies the continuing executive secretary Jonathas Assuncao de Castro; the office regulation designates its executive secretary as minister substitute. Reconstruct vacancy replacement between Ramos dismissal March 30 and Flavia actual management start March 31. Keep personal affiliation unresolved, independently of his later Casa Civil replacement. The July roll is a source for Flavia actual start, not for a retroactive appointment of her later executive secretary Rafael Sampaio.",[]
C060,completion_adjudication,C060,Interministerial Portaria 201 signed April 24 explicitly identifies Luiz Pontel as interim Justice minister after Moro departure. The successor decree was published April 28 and possession April 29. Include vacancy service through that possession. Party-change reports concerning Guilherme Theophilo are not evidence about Pontel; his personal affiliation remains unresolved.,[]
C063,completion_adjudication,C063,"FUNAG identifies the immediate minister substitute, Brandelli, serving January 3 2019 through June 4 2021; DOU confirms minister-interim acts. Folha March 30 explicitly says França had not yet taken possession, despite the appointment decree. Include designated vacancy service until the documented April 6 possession. No personal party or explicit non-affiliation observation was established. Reports calling Bolsonaro sem partido are not evidence about Brandelli; diplomatic career does not establish his party state.",[]
C064,completion_adjudication,C064,The signed March 19 announcement and appointment/dismissal decree were published March 20. Retain Haddad through March 19 and exclude Durigan from this window. Clipping at March 20 is not itself a dismissal observation for other continuing incumbents.,[]
C065,completion_adjudication,C065,"Renames preserve stable identity. Merger/incorporation dates terminate predecessor identities, not the personal office appointment. PEN is the earlier name of Patriota; PRP incorporation does not transfer Heleno, whose documented departure predates it. Use contemporaneous May 7 2019 TSE announcement for PR/PL over the contradictory current-registry February date. Label SOLIDARIEDADE as SD before June 28 2018. NOVO and REDE labels begin at registration. PP full-name change does not change its acronym or split composition.",[]
