office_inventory_id,office_id,source_office_name,source_start,source_end,disposition,evidence_ids,rationale
OFFINV-002,dilma_2-casa-civil,Casa Civil,2015-01-01,2016-05-12,included_dated_eligibility,OFF-004,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-003,dilma_2-cgu,Controladoria-Geral da União,2015-01-01,2016-05-12,included_dated_eligibility,OFF-004,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-016,dilma_2-cidades,Ministério das Cidades,2015-01-01,2016-05-12,included_dated_eligibility,OFF-004,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-006,dilma_2-ciencia-tecnologia,"Ministério da Ciência, Tecnologia e Inovação",2015-01-01,2016-05-12,included_dated_eligibility,OFF-004,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-034,dilma_2-comunicacao-social,Secretaria de Comunicação Social,2015-01-01,2016-05-12,included_dated_eligibility,OFF-004,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-017,dilma_2-comunicacoes,Ministério das Comunicações,2015-01-01,2016-05-12,included_dated_eligibility,OFF-004,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-007,dilma_2-cultura,Ministério da Cultura,2015-01-01,2016-05-12,included_dated_eligibility,OFF-004,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-008,dilma_2-defesa,Ministério da Defesa,2015-01-01,2016-05-12,included_dated_eligibility,OFF-004,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-020,dilma_2-desenvolvimento-agrario,Ministério do Desenvolvimento Agrário,2015-01-01,2016-05-12,included_dated_eligibility,OFF-004,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-021,dilma_2-desenvolvimento-social,Ministério do Desenvolvimento Social e Combate à Fome,2015-01-01,2016-05-12,included_dated_eligibility,OFF-004,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-009,dilma_2-educacao,Ministério da Educação,2015-01-01,2016-05-12,included_dated_eligibility,OFF-004,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-023,dilma_2-esporte,Ministério do Esporte,2015-01-01,2016-05-12,included_dated_eligibility,OFF-004,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-010,dilma_2-fazenda,Ministério da Fazenda,2015-01-01,2016-05-12,included_dated_eligibility,OFF-004,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-022,dilma_2-industria-comercio,"Ministério do Desenvolvimento, Indústria e Comércio Exterior",2015-01-01,2016-05-12,included_dated_eligibility,OFF-004,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-011,dilma_2-integracao,Ministério da Integração Nacional,2015-01-01,2016-05-12,included_dated_eligibility,OFF-004,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-012,dilma_2-justica,Ministério da Justiça,2015-01-01,2016-05-12,included_dated_eligibility,OFF-004,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-024,dilma_2-meio-ambiente,Ministério do Meio Ambiente,2015-01-01,2016-05-12,included_dated_eligibility,OFF-004,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-019,dilma_2-minas-e-energia,Ministério de Minas e Energia,2015-01-01,2016-05-12,included_dated_eligibility,OFF-004,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-025,dilma_2-planejamento,"Ministério do Planejamento, Orçamento e Gestão",2015-01-01,2016-05-12,included_dated_eligibility,OFF-004,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-030,dilma_2-portos,Secretaria Nacional dos Portos,2015-01-01,2016-05-12,included_dated_eligibility,OFF-004,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-018,dilma_2-relacoes-exteriores,Ministério das Relações Exteriores,2015-01-01,2016-05-12,included_dated_eligibility,OFF-004,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-015,dilma_2-saude,Ministério da Saúde,2015-01-01,2016-05-12,included_dated_eligibility,OFF-004,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-028,dilma_2-transportes,Ministério dos Transportes,2015-01-01,2016-05-12,included_dated_eligibility,OFF-004,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-027,dilma_2-turismo,Ministério do Turismo,2015-01-01,2016-05-12,included_dated_eligibility,OFF-004,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-032,dilma_2-assuntos-estrategicos,Secretaria de Assuntos Estratégicos,2015-01-01,2015-10-05,included_dated_eligibility,OFF-005;OFF-006,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-035,dilma_2-direitos-humanos,Secretaria de Direitos Humanos,2015-01-01,2015-10-05,included_dated_eligibility,OFF-005;OFF-006,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-004,dilma_2-gsi,Gabinete de Segurança Institucional,2015-01-01,2015-10-05,included_dated_eligibility,OFF-005;OFF-006,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-031,dilma_2-micro-e-pequena-empresa,Secretaria da Micro e Pequena Empresa,2015-01-01,2015-10-05,included_dated_eligibility,OFF-005;OFF-006,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-129,dilma_2-mulher-familia-direitos,"Ministério das Mulheres, da Igualdade Racial e dos Direitos Humanos",2015-10-05,2016-05-12,included_dated_eligibility,OFF-005;OFF-006,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-013,dilma_2-pesca-e-aquicultura,Ministério da Pesca e Aquicultura,2015-01-01,2015-10-05,included_dated_eligibility,OFF-005;OFF-006,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-036,dilma_2-politicas-de-promocao-da-igualdade-racial,Secretaria de Políticas de Promoção da Igualdade Racial,2015-01-01,2015-10-05,included_dated_eligibility,OFF-005;OFF-006,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-037,dilma_2-politicas-para-as-mulheres,Secretaria de Políticas para as Mulheres,2015-01-01,2015-10-05,included_dated_eligibility,OFF-005;OFF-006,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-014,dilma_2-previdencia-social,Ministério da Previdência Social,2015-01-01,2015-10-05,included_dated_eligibility,OFF-005;OFF-006,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-038,dilma_2-relacoes-institucionais,Secretaria de Relações Institucionais,2015-01-01,2015-10-05,included_dated_eligibility,OFF-005;OFF-006,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-039,dilma_2-secretaria-geral,Secretaria-Geral da Presidência,2015-01-01,2015-10-05,included_dated_eligibility,OFF-005;OFF-006,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-130,dilma_2-secretaria-governo,Secretaria de Governo,2015-10-05,2016-05-12,included_dated_eligibility,OFF-005;OFF-006,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-026,dilma_2-trabalho,Ministério do Trabalho e Emprego,2015-01-01,2015-10-05,included_dated_eligibility,OFF-005;OFF-006,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-128,dilma_2-trabalho,Ministério do Trabalho e Previdência Social,2015-10-05,2016-05-12,included_dated_eligibility,OFF-005;OFF-006,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-131,dilma_2-gabinete-pessoal,Gabinete Pessoal da Presidência,2016-03-16,2016-05-12,included_dated_eligibility,OFF-008;OFF-009,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-041,temer-agricultura,"Agricultura, Pecuária e Abastecimento",2016-05-12,2019-01-01,included_dated_eligibility,OFF-012;OFF-013,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-040,temer-agu,Advocacia-Geral da União,2016-05-12,2019-01-01,included_dated_eligibility,OFF-012;OFF-013,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-042,temer-banco-central,Banco Central,2016-05-12,2019-01-01,included_dated_eligibility,OFF-012;OFF-013,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-043,temer-casa-civil,Casa Civil,2016-05-12,2019-01-01,included_dated_eligibility,OFF-012;OFF-013,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-053,temer-cgu,"Fiscalização, Transparência e Controladoria-Geral da União",2016-05-12,2019-01-01,included_dated_eligibility,OFF-012;OFF-013,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-044,temer-cidades,Cidades,2016-05-12,2019-01-01,included_dated_eligibility,OFF-012;OFF-013,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-045,temer-ciencia-tecnologia,"Ciência, Tecnologia, Inovações e Comunicações",2016-05-12,2019-01-01,included_dated_eligibility,OFF-012;OFF-013,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-046,temer-cultura,Cultura,2016-05-23,2019-01-01,included_dated_eligibility,OFF-012;OFF-013,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-047,temer-defesa,Defesa,2016-05-12,2019-01-01,included_dated_eligibility,OFF-012;OFF-013,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-048,temer-desenvolvimento-social,Desenvolvimento Social e Agrário,2016-05-12,2019-01-01,included_dated_eligibility,OFF-012;OFF-013,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-049,temer-direitos-humanos,Direitos Humanos,2017-02-03,2019-01-01,included_dated_eligibility,OFF-012;OFF-013,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-050,temer-educacao,Educação,2016-05-12,2019-01-01,included_dated_eligibility,OFF-012;OFF-013,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-051,temer-esporte,Esporte,2016-05-12,2019-01-01,included_dated_eligibility,OFF-012;OFF-013,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-052,temer-fazenda,Fazenda e Previdência Social,2016-05-12,2019-01-01,included_dated_eligibility,OFF-012;OFF-013,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-054,temer-gsi,Gabinete de Segurança Institucional,2016-05-12,2019-01-01,included_dated_eligibility,OFF-012;OFF-013,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-132,temer-industria-comercio,"Ministério da Indústria, Comércio Exterior e Serviços",2016-05-12,2019-01-01,included_dated_eligibility,OFF-012;OFF-013,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-055,temer-integracao,Integração Nacional,2016-05-12,2019-01-01,included_dated_eligibility,OFF-012;OFF-013,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-056,temer-justica,Justiça,2016-05-12,2019-01-01,included_dated_eligibility,OFF-012;OFF-013,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-057,temer-meio-ambiente,Meio Ambiente,2016-05-12,2019-01-01,included_dated_eligibility,OFF-012;OFF-013,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-058,temer-minas-e-energia,Minas e Energia,2016-05-12,2019-01-01,included_dated_eligibility,OFF-012;OFF-013,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-059,temer-planejamento,"Planejamento, Orçamento e Gestão",2016-05-12,2019-01-01,included_dated_eligibility,OFF-012;OFF-013,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-060,temer-relacoes-exteriores,Relações Exteriores,2016-05-12,2019-01-01,included_dated_eligibility,OFF-012;OFF-013,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-061,temer-saude,Saúde,2016-05-12,2019-01-01,included_dated_eligibility,OFF-012;OFF-013,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-062,temer-secretaria-geral,Secretaria-Geral,2017-02-03,2019-01-01,included_dated_eligibility,OFF-012;OFF-013,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-133,temer-secretaria-governo,Secretaria de Governo,2016-05-12,2019-01-01,included_dated_eligibility,OFF-012;OFF-013,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-063,temer-seguranca-publica,Segurança Pública,2018-02-27,2019-01-01,included_dated_eligibility,OFF-012;OFF-013,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-064,temer-trabalho,Trabalho,2016-05-12,2019-01-01,included_dated_eligibility,OFF-012;OFF-013,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-065,temer-transportes-portos-e-aviacao-civil,"Transportes, Portos e Aviação Civil",2016-05-12,2019-01-01,included_dated_eligibility,OFF-012;OFF-013,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-066,temer-turismo,Turismo,2016-05-12,2019-01-01,included_dated_eligibility,OFF-012;OFF-013,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-071,bolsonaro-agricultura,"Ministério da Agricultura, Pecuária e Abastecimento",2019-01-01,2023-01-01,included_dated_eligibility,OFF-019,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-067,bolsonaro-agu,Advocacia-Geral da União,2019-01-01,2023-01-01,included_dated_eligibility,OFF-019,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-068,bolsonaro-casa-civil,Casa Civil,2019-01-01,2023-01-01,included_dated_eligibility,OFF-019,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-069,bolsonaro-cgu,Controladoria-Geral da União,2019-01-01,2023-01-01,included_dated_eligibility,OFF-019,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-072,bolsonaro-cidadania,Ministério da Cidadania,2019-01-01,2023-01-01,included_dated_eligibility,OFF-019,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-073,bolsonaro-ciencia-tecnologia,"Ministério da Ciência, Tecnologia e Inovações",2019-01-01,2023-01-01,included_dated_eligibility,OFF-019,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-074,bolsonaro-defesa,Ministério da Defesa,2019-01-01,2023-01-01,included_dated_eligibility,OFF-019,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-084,bolsonaro-desenvolvimento-regional,Ministério do Desenvolvimento Regional,2019-01-01,2023-01-01,included_dated_eligibility,OFF-019,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-075,bolsonaro-economia,Ministério da Economia,2019-01-01,2023-01-01,included_dated_eligibility,OFF-019,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-076,bolsonaro-educacao,Ministério da Educação,2019-01-01,2023-01-01,included_dated_eligibility,OFF-019,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-070,bolsonaro-gsi,Gabinete de Segurança Institucional,2019-01-01,2023-01-01,included_dated_eligibility,OFF-019,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-077,bolsonaro-infraestrutura,Ministério da Infraestrutura,2019-01-01,2023-01-01,included_dated_eligibility,OFF-019,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-078,bolsonaro-justica,Ministério da Justiça e Segurança Pública,2019-01-01,2023-01-01,included_dated_eligibility,OFF-019,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-085,bolsonaro-meio-ambiente,Ministério do Meio Ambiente,2019-01-01,2023-01-01,included_dated_eligibility,OFF-019,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-083,bolsonaro-minas-e-energia,Ministério de Minas e Energia,2019-01-01,2023-01-01,included_dated_eligibility,OFF-019,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-079,bolsonaro-mulher-familia-direitos,"Ministério da Mulher, da Família e dos Direitos Humanos",2019-01-01,2023-01-01,included_dated_eligibility,OFF-019,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-082,bolsonaro-relacoes-exteriores,Ministério das Relações Exteriores,2019-01-01,2023-01-01,included_dated_eligibility,OFF-019,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-080,bolsonaro-saude,Ministério da Saúde,2019-01-01,2023-01-01,included_dated_eligibility,OFF-019,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-088,bolsonaro-secretaria-geral,Secretaria-Geral da Presidência da República,2019-01-01,2023-01-01,included_dated_eligibility,OFF-019,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-087,bolsonaro-secretaria-governo,Secretaria de Governo,2019-01-01,2023-01-01,included_dated_eligibility,OFF-019,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-086,bolsonaro-turismo,Ministério do Turismo,2019-01-01,2023-01-01,included_dated_eligibility,OFF-019,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-134,bolsonaro-banco-central,Presidência do Banco Central,2019-01-01,2021-02-25,included_dated_eligibility,OFF-019;OFF-020;OFF-021,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-135,bolsonaro-trabalho,Ministério do Trabalho e Previdência,2021-07-28,2023-01-01,included_dated_eligibility,OFF-023;OFF-024;OFF-025,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-090,lula_3-agricultura,Agricultura e Pecuária,2023-01-01,2026-03-20,included_dated_eligibility,OFF-035,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-089,lula_3-agu,Advocacia-Geral da União,2023-01-01,2026-03-20,included_dated_eligibility,OFF-035,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-091,lula_3-casa-civil,Casa Civil,2023-01-01,2026-03-20,included_dated_eligibility,OFF-035,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-095,lula_3-cgu,Controladoria-Geral da União,2023-01-01,2026-03-20,included_dated_eligibility,OFF-035,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-092,lula_3-cidades,Cidades,2023-01-01,2026-03-20,included_dated_eligibility,OFF-035,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-093,lula_3-ciencia-tecnologia,"Ciência, Tecnologia e Inovação",2023-01-01,2026-03-20,included_dated_eligibility,OFF-035,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-122,lula_3-comunicacao-social,Secretaria de Comunicação Social,2023-01-01,2026-03-20,included_dated_eligibility,OFF-035,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-094,lula_3-comunicacoes,Comunicações,2023-01-01,2026-03-20,included_dated_eligibility,OFF-035,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-096,lula_3-cultura,Cultura,2023-01-01,2026-03-20,included_dated_eligibility,OFF-035,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-097,lula_3-defesa,Defesa,2023-01-01,2026-03-20,included_dated_eligibility,OFF-035,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-098,lula_3-desenvolvimento-agrario,Desenvolvimento Agrário e Agricultura Familiar,2023-01-01,2026-03-20,included_dated_eligibility,OFF-035,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-099,lula_3-desenvolvimento-social,"Desenvolvimento e Assistência Social, Família e Combate à Fome",2023-01-01,2026-03-20,included_dated_eligibility,OFF-035,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-101,lula_3-direitos-humanos,Direitos Humanos e Cidadania,2023-01-01,2026-03-20,included_dated_eligibility,OFF-035,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-102,lula_3-educacao,Educação,2023-01-01,2026-03-20,included_dated_eligibility,OFF-035,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-104,lula_3-esporte,Esporte,2023-01-01,2026-03-20,included_dated_eligibility,OFF-035,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-105,lula_3-fazenda,Fazenda,2023-01-01,2026-03-20,included_dated_eligibility,OFF-035,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-107,lula_3-gestao-e-da-inovacao-em-servicos-publicos,Gestão e da Inovação em Serviços Públicos,2023-01-01,2026-03-20,included_dated_eligibility,OFF-035,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-106,lula_3-gsi,Gabinete de Segurança Institucional,2023-01-01,2026-03-20,included_dated_eligibility,OFF-035,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-108,lula_3-igualdade-racial,Igualdade Racial,2023-01-01,2026-03-20,included_dated_eligibility,OFF-035,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-100,lula_3-industria-comercio,"Desenvolvimento, Indústria, Comércio e Serviços",2023-01-01,2026-03-20,included_dated_eligibility,OFF-035,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-109,lula_3-integracao,Integração e Desenvolvimento Regional,2023-01-01,2026-03-20,included_dated_eligibility,OFF-035,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-110,lula_3-justica,Justiça e Segurança Pública,2023-01-01,2026-03-20,included_dated_eligibility,OFF-035,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-111,lula_3-meio-ambiente,Meio Ambiente e Mudança do Clima,2023-01-01,2026-03-20,included_dated_eligibility,OFF-035,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-112,lula_3-minas-e-energia,Minas e Energia,2023-01-01,2026-03-20,included_dated_eligibility,OFF-035,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-113,lula_3-mulheres,Mulheres,2023-01-01,2026-03-20,included_dated_eligibility,OFF-035,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
