case_id,subjects,administration_id,reviewed_finding,change_dimensions,primary_adjudication,decision_ids,evidence_ids,residual_dependency,review_basis
R24,Gilson Machado,bolsonaro,Historical PSC affiliation through PL entry March 30 2022 retained over conflicting no-party directory.,personal_affiliation,Dated PSC descriptions and actual change are primary; conflicting January directory is retained.,R24;C013,AFF-032;BOL-E20;C013,PSC versus no-party source conflict,Underlying inherited assertions and source-specific completion decisions; exact requested case_change_dimensions.csv unavailable
R25,Marcos Montes; Victor Godoy; Ronaldo Britto,bolsonaro,March 2022 replacements included; Godoy actually assumes vacant MEC March 28 before appointment/publication.,office_scope;date,Montes PSD and Britto Republicanos actual entries; Godoy non-affiliation retained.,R25;C022;C048,BOL-E17;BOL-E18;BOL-E21;BOL-E22;C022;C048;LEG-342db9e7f38f;LEG-8c8c4650eaeb,,Underlying inherited assertions and source-specific completion decisions; exact requested case_change_dimensions.csv unavailable
R26,Adolfo Sachsida,bolsonaro,Exact-identity official TSE historical2013 membership in successor UNIAO supersedes nonaffiliation alternative.,personal_affiliation;organizational_event,"UNIAO throughout actual2022 service supported by historical membership field, exact official identity and merger continuity; contradictory compilation assertions retained but not selected as viable alternatives.",R26;C061;V5W6D01,AFF-044;BOL-E07;BOL-E08;C061;LEG-5b2c802041f5;V5W6E01;V5W6E02,,Underlying inherited assertions and source-specific completion decisions; exact requested case_change_dimensions.csv unavailable
R01,Cid Gomes,dilma_2,"Cid Gomes PROS personal affiliation replaces the prior later-biography PDT label; service ends March 19 2015, after the resignation announcement.",personal_affiliation;date,Retain actual PROS membership until effective departure.,R01,office_audit/pinned_source_rows.csv;prior_evidence_assertions.csv,,Underlying inherited assertions and source-specific completion decisions; exact requested case_change_dimensions.csv unavailable
R02,George Hilton,dilma_2,PRB departure/PROS affiliation March 18 2016 and Sports departure March 31 are separate events.,personal_affiliation;date,Do not end PRB at the party government-withdrawal announcement.,R02,AFF-001,,Underlying inherited assertions and source-specific completion decisions; exact requested case_change_dimensions.csv unavailable
R03,Gilberto Occhi,dilma_2,Integration departure April 14 2016 follows request April 13.,date,PP representation ends only with last qualifying PP holder.,R03,office_audit/occupancy_discrepancies.csv,,Underlying inherited assertions and source-specific completion decisions; exact requested case_change_dimensions.csv unavailable
R04,Gilberto Kassab,dilma_2,"Cities service continues to April 19 2016 publication, after April 15 announcement.",date,PSD continuity retained through effective service.,R04,office_audit/occupancy_discrepancies.csv,,Underlying inherited assertions and source-specific completion decisions; exact requested case_change_dimensions.csv unavailable
R27,Celso Sabino,lula_3,Entry July18 2023; six actual service departures reconstructed; Uniao expulsion December8 2025; final published office departure December19.,personal_affiliation;date,Personal affiliation remains separate from six titular service segments and seven vacancy replacements. Wallace July2023 affiliation resolved C070; Carlos2023forward MDB C074; Ana personal evidence investigated separately. Ana Carla PSDB historical continuity C075 supports all five vacancy spells.,R27;C038;C070;C073;C074;C075,AFF-034;AFF-035;AFF-036;C038;OFF-041;C070;C073;C074;C075,Bounded Sabino return dates can change PSDB representation; see date_sensitivity.csv,Underlying inherited assertions and source-specific completion decisions; exact requested case_change_dimensions.csv unavailable
R28,Waldez Góes; Frederico Siqueira; Gustavo Feliciano,lula_3,Waldez personal PDT membership retained despite sponsorship/license; successors with explicit non-affiliation are coded accordingly.,personal_affiliation,"Family, nomination and party government support do not determine affiliation.",R28,AFF-038;prior_evidence_assertions.csv,,Underlying inherited assertions and source-specific completion decisions; exact requested case_change_dimensions.csv unavailable
R29,Marcos Antonio Amaro dos Santos,lula_3,Explicit historical non-affiliation resolves the May 4-September 6 2023 gap.,personal_affiliation,Pinned historical roster used; Atlas blank exit is not service through 2026.,R29;C002,"C002;MAIN_AUDIT_REPORT.md sections 3,6;prior_evidence_assertions.csv",,Underlying inherited assertions and source-specific completion decisions; exact requested case_change_dimensions.csv unavailable
R30,Onyx Lorenzoni; Geraldo Alckmin; Central Bank,multiple,Incoming transitions excluded from outgoing cabinet; BCB ministerial status ends February 25 2021.,office_scope,"Qualifying office status and administration are dated, not assumed.",R30,OFF-031–OFF-034,,Underlying inherited assertions and source-specific completion decisions; exact requested case_change_dimensions.csv unavailable
R05,Maurício Quintella,temer,"The prior roster already contained Quintella and literal PR, but failed to recognize its party contribution. Personal PR affiliation supplies the missing representation.",historical_party_recognition,Stable PL identity bears PR label in this tenure.,R05,AFF-008;CODE-04;LEG record for Quintella,,Underlying inherited assertions and source-specific completion decisions; exact requested case_change_dimensions.csv unavailable
R06,Ronaldo Nogueira; Helton Yomura,temer,December 29 2017 same-PTB succession is restored.,office_scope;date,Personnel change does not remove PTB.,R06;C012,AFF-009;C012;office_audit/occupancy_discrepancies.csv,,Underlying inherited assertions and source-specific completion decisions; exact requested case_change_dimensions.csv unavailable
R07,Marcos Pereira; Marcos Jorge,temer,Both PRB MDIC holders are included.,office_scope;date,January 4 2018 primary succession; January 3-5 alternatives jointly preserve PRB.,R07,OFF-049;OFF-050,mdic-2018-succession,Underlying inherited assertions and source-specific completion decisions; exact requested case_change_dimensions.csv unavailable
R08,Sarney Filho; Edson Duarte,temer,PV continuity through the Environment succession.,office_scope;date,April 6 2018 primary with April 6-7 boundary alternative; PV remains.,R08,OFF-015;OFF-017,environment-2018-succession,Underlying inherited assertions and source-specific completion decisions; exact requested case_change_dimensions.csv unavailable
R09,Henrique Meirelles,temer,PSD-to-MDB personal change on April 3 2018 occurs before Finance departure.,personal_affiliation,Do not freeze appointment affiliation.,R09,AFF-003;prior_evidence_assertions.csv,,Underlying inherited assertions and source-specific completion decisions; exact requested case_change_dimensions.csv unavailable
R10,Fernando Bezerra Coelho Filho; Paulo Pedrosa,temer,PSB exit October 25 2017; MDB entry March 21 2018; six genuine interruptions retained.,personal_affiliation;date;office_scope,DEM affiliation April 6 follows his service; Pedrosa replaces him in documented vacancies.,R10;C006;C007;C041;C067,C006;C007;C041;LEG-2f8bf5705498;C067,Pedrosa personal PSDB/non-affiliation uncertainty retained under C067; aggregate neutrality requires independent PSDB witnesses,Underlying inherited assertions and source-specific completion decisions; exact requested case_change_dimensions.csv unavailable
R11,Raul Jungmann,temer,PPS departure March 21 2018 changes personal affiliation during Public Security service.,personal_affiliation,Office change and party departure remain distinct.,R11,AFF-004,,Underlying inherited assertions and source-specific completion decisions; exact requested case_change_dimensions.csv unavailable
R12,Ronaldo Fonseca,temer,Podemos cancellation May 24 2018 precedes May 28 office entry.,personal_affiliation,No Podemos entry through Fonseca.,R12,LEG-f0e3878b0b42,,Underlying inherited assertions and source-specific completion decisions; exact requested case_change_dimensions.csv unavailable
R13,Valter Casimiro,temer,Explicit contemporaneous non-affiliation covers April 2-July 11 2018 interval.,personal_affiliation,Transport sponsorship by PR does not establish membership.,R13;C001,C001;prior_evidence_assertions.csv,,Underlying inherited assertions and source-specific completion decisions; exact requested case_change_dimensions.csv unavailable
