discrepancy_id,person,office,service_ids,disposition,evidence_ids,rationale,remaining_limitation
OCC-014,Alexandre Tombini,Presidência Banco Central,service-dilma_rousseff-1-11,reviewed_integrated_with_explicit_residual_unknowns,LEG-3a3bd99ec9c2;OFF-021,Carry the incumbent across the administration boundary until actual effective departure.,Current unresolved dependencies and date alternatives are exported separately; consult PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW. Earlier proposed disposition retained in rationale; no claim that a source omission proves interruption.
OCC-015,Ilan Goldfajn,Presidência Banco Central,service-michel_temer-0-4,reviewed_integrated_with_explicit_residual_unknowns,LEG-3ef836b8a40d;OFF-019;OFF-021;OFF-022,Preserve uninterrupted BCB service across the administration reporting boundary.,Current unresolved dependencies and date alternatives are exported separately; consult PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW. Earlier proposed disposition retained in rationale; no claim that a source omission proves interruption.
OCC-016,Antonio Paulo Vogel,Educação,service-f6cebee00b4b,reviewed_integrated_with_explicit_residual_unknowns,C025;OFF-029;OFF-030,Add evidenced vacancy acting service; Decotelli non-entry does not automatically interrupt it.,Current unresolved dependencies and date alternatives are exported separately; consult C025;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW. Earlier proposed disposition retained in rationale; no claim that a source omission proves interruption.
OCC-017,Wellington César Lima e Silva,Justiça,service-84105bf0fa5f,reviewed_integrated_with_explicit_residual_unknowns,ATLAS-494;OFF-009;OFF-010;OFF-011,"Retain actual March 3 entry, then document legal restrictions and effective departure.",Current unresolved dependencies and date alternatives are exported separately; consult OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW. Earlier proposed disposition retained in rationale; no claim that a source omission proves interruption.
OCC-018,Luiz Inácio Lula da Silva,Casa Civil,service-d627a715ad62,reviewed_integrated_with_explicit_residual_unknowns,OFF-047,"Retain the signed term and court events; adjudicate legally effective service, including any brief span invisible to daily sampling.",Current unresolved dependencies and date alternatives are exported separately; consult OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW. Earlier proposed disposition retained in rationale; no claim that a source omission proves interruption.
OCC-019,Jaques Wagner,Gabinete Pessoal,service-0756ddce3efb;service-207a1e9e526c;service-924bb8bb9eee;service-bd479da06544;service-f6b7136b576a,reviewed_integrated_with_explicit_residual_unknowns,ATLAS-554;OFF-008;OFF-009;OFF-019;OFF-020;OFF-038;OFF-039;OFF-040,Add the ministerial office created March 16 and evidenced Wagner service from March 17.,Current unresolved dependencies and date alternatives are exported separately; consult OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW. Earlier proposed disposition retained in rationale; no claim that a source omission proves interruption.
OCC-020,Carlos Decotelli,Educação,service-jair_bolsonaro-0-41,reviewed_integrated_with_explicit_residual_unknowns,LEG-06b899630a6b;OFF-029;OFF-030,No officeholding spell; retain nomination and cancellation as events.,Current unresolved dependencies and date alternatives are exported separately; consult OFF-029;PERSON-CONTINUITY-REVIEW. Earlier proposed disposition retained in rationale; no claim that a source omission proves interruption.
OCC-021,Flávia Arruda,Secretaria de Governo,service-jair_bolsonaro-0-47,reviewed_integrated_with_explicit_residual_unknowns,LEG-f997e70b3675;OFF-026;OFF-027;OFF-028,Propose March 31 service from management record and parliamentary leave; retain appointment act March 30 and ceremony April 6 separately.,Current unresolved dependencies and date alternatives are exported separately; consult PERSON-CONTINUITY-REVIEW;R22. Earlier proposed disposition retained in rationale; no claim that a source omission proves interruption.
OCC-022,André Mendonça; Anderson Torres,AGU; Justiça,service-jair_bolsonaro-0-14;service-jair_bolsonaro-0-31,reviewed_integrated_with_explicit_residual_unknowns,AFF-017;AFF-018;AFF-019;ATLAS-620;LEG-2ffad066f860;LEG-ee50e9c3bdf3;OFF-051,March 20 is unsupported; distinguish the March 29 appointment event from reported March 30 possession.,Current unresolved dependencies and date alternatives are exported separately; consult PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R19. Earlier proposed disposition retained in rationale; no claim that a source omission proves interruption.
OCC-023,Luiz Eduardo Ramos,Segov; Casa Civil; Secretaria-Geral,service-jair_bolsonaro-0-3;service-jair_bolsonaro-0-38;service-jair_bolsonaro-0-46,reviewed_integrated_with_explicit_residual_unknowns,C049;LEG-ce9aa704d046;LEG-e62d7a3cb75d;LEG-ebe4d4a81d54;OFF-027,"Separate appointment, management period and ceremony. The 2021 roster shows Casa Civil April 1 and SG July 28.",Current unresolved dependencies and date alternatives are exported separately; consult BOL-A02;C049;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW. Earlier proposed disposition retained in rationale; no claim that a source omission proves interruption.
OCC-024,Paulo Pimenta; Laércio Portela,Secom; RS reconstruction,service-lula_2023_presente-2-58;service-lula_2023_presente-2-59;service-lula_2023_presente-2-61,reviewed_integrated_with_explicit_residual_unknowns,C011;LEG-260dc224b3b3;LEG-bca3c6c6edac;LEG-e020f6e27e56;OFF-037;OFF-038;OFF-039;OFF-040;OFF-043;PINNED-PORTELA,Split Secom before RS service and after September 12 return; record Portela as vacancy acting holder and verify RS legal office expiry separately.,Current unresolved dependencies and date alternatives are exported separately; consult C011;OFF-037;OFF-038;OFF-039;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW. Earlier proposed disposition retained in rationale; no claim that a source omission proves interruption.
OCC-025,Celso Sabino,Turismo,service-lula_2023_presente-2-46,reviewed_integrated_with_explicit_residual_unknowns,AFF-034;AFF-035;AFF-036;LEG-68b75f23e045;OFF-041,"Use documented July 18, 2023 actual taking-office date and retain the later ceremony.",Current unresolved dependencies and date alternatives are exported separately; consult OFF-041;PERSON-CONTINUITY-REVIEW;R27. Earlier proposed disposition retained in rationale; no claim that a source omission proves interruption.
OCC-026,Macaé Evaristo; Esther Dweck,Direitos Humanos,service-lula_2023_presente-2-14;service-lula_2023_presente-2-15,reviewed_integrated_with_explicit_residual_unknowns,LEG-aaebea0a8273;LEG-b9e8176baff8;LEG-da6ce3b869d1;NEW-MACAE;OFF-042,Use September 11 service entry/acting end; preserve September 27 ceremony.,Current unresolved dependencies and date alternatives are exported separately; consult OFF-042;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW. Earlier proposed disposition retained in rationale; no claim that a source omission proves interruption.
OCC-027,Sidônio Palmeira; Paulo Pimenta,Secom,service-lula_2023_presente-2-58;service-lula_2023_presente-2-60,reviewed_integrated_with_explicit_residual_unknowns,BOL-L01;LEG-e020f6e27e56;LEG-e1bdeed31aec;OFF-043,Use January 14 appointment and actual entry boundary; January 7 is an announcement.,Current unresolved dependencies and date alternatives are exported separately; consult LUL-B01;OFF-037;OFF-038;OFF-039;OFF-044;PERSON-CONTINUITY-REVIEW. Earlier proposed disposition retained in rationale; no claim that a source omission proves interruption.
OCC-028,Dario Durigan; Fernando Haddad,Fazenda,service-lula_2023_presente-2-20;service-lula_2023_presente-2-21,reviewed_integrated_with_explicit_residual_unknowns,C064;LEG-3b78d99c4156;LEG-e021896e2251;OFF-044;OFF-045,Actual March 20 entry falls outside coverage; distinguish decree signing from publication and service.,Current unresolved dependencies and date alternatives are exported separately; consult C064;OFF-045;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW. Earlier proposed disposition retained in rationale; no claim that a source omission proves interruption.
OCC-029,Wellington César; Manoel Carlos,Justiça,service-lula_2023_presente-2-27;service-lula_2023_presente-2-28,reviewed_integrated_with_explicit_residual_unknowns,ATLAS-494;C004;LEG-9017e8f64cc4;LEG-f1f3a25b37b6;OFF-009;OFF-010;OFF-011;OFF-046,Keep January 13–15 bounded uncertainty; later ceremony does not override evidence of earlier legally effective exercise.,Current unresolved dependencies and date alternatives are exported separately; consult C004;OFF-046;PERSON-CONTINUITY-REVIEW. Earlier proposed disposition retained in rationale; no claim that a source omission proves interruption.
OCC-030,Miguel Rossetto;Nilma Gomes;Ricardo Berzoini;other reshuffled ministers,Dilma 2015 reorganizations,service-0756ddce3efb;service-207a1e9e526c;service-924bb8bb9eee;service-bd479da06544;service-f6b7136b576a,reviewed_integrated_with_explicit_residual_unknowns,ATLAS-554;OFF-005;OFF-006;OFF-007;OFF-008;OFF-009;OFF-019;OFF-020;OFF-038;OFF-039;OFF-040,"Cargo transformations take effect October 5 publication; service, ceremony and regimental structure changes are separate facts.",Current unresolved dependencies and date alternatives are exported separately; consult OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW. Earlier proposed disposition retained in rationale; no claim that a source omission proves interruption.
OCC-031,All incumbents,All qualifying offices,service-0756ddce3efb;service-207a1e9e526c;service-924bb8bb9eee;service-bd479da06544;service-f6b7136b576a,reviewed_integrated_with_explicit_residual_unknowns,ATLAS-554;OFF-002;OFF-003;OFF-008;OFF-009;OFF-019;OFF-020;OFF-038;OFF-039;OFF-040,Adjudicate the 121 flags using actual half-open service; 87 same-day pairs are not proof of simultaneous representation.,Current unresolved dependencies and date alternatives are exported separately; consult OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW. Earlier proposed disposition retained in rationale; no claim that a source omission proves interruption.
OCC-032,Jorge Oliveira; Pedro Cesar Sousa,Secretaria-Geral,service-jair_bolsonaro-0-35;service-jair_bolsonaro-0-36,reviewed_integrated_with_explicit_residual_unknowns,C026;C028;LEG-6a03da16e908;LEG-79030362edda;OFF-002;OFF-003,Resolve Jorge actual departure versus announcement and Pedro temporary versus vacancy capacity before counting witnesses.,Current unresolved dependencies and date alternatives are exported separately; consult C026;C028;OFFICE-CAPACITY-2020;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW. Earlier proposed disposition retained in rationale; no claim that a source omission proves interruption.
