path,artifact_type,description,rows,columns
raw/ideology_order_2014.csv,raw,Ideology order used for 2014 election analysis.,28,9
raw/ideology_order_2018.csv,raw,Ideology order used for 2018 election analysis.,30,9
raw/ideology_order_2022.csv,raw,Ideology order used for 2022 election analysis.,23,9
raw/ideology_order_all_years.csv,raw,Ideology order used for all election analyses.,81,9
tables/table_appendix_ideology_order.csv,table,"Full party ideology order, classification, score, and source labels shown in the manuscript appendix.",81,7
latex/table_appendix_ideology_order.tex,latex,CSV-driven longtable for the full ideology-order appendix.,81,7
raw/ideology_k_gap_coalitions.csv,raw,seat_winning k=0/1 ideological domain; all valid votes in V; freshly recomputed minimality.,11401,34
raw/ideology_k_gap_minimal_majorities.csv,raw,seat_winning k=0/1 ideological domain; all valid votes in V; freshly recomputed minimality.,254,34
raw/ideology_k_gap_inversions.csv,raw,seat_winning k=0/1 ideological domain; all valid votes in V; freshly recomputed minimality.,167,34
tables/ideology_k_gap_summary.csv,table,seat_winning domain-minimal counts and strongest inversion.,6,22
diagnostics/ideology_k_gap_strongest_inversion_ties.csv,diagnostic,Strongest minimal inversion exact ties in seat_winning.,0,10
latex/table_03_ideology_exact_connected_summary.tex,latex,Main-text exact-connected minimal winning parliamentary coalitions.,3,6
latex/table_03_ideology_k_gap_summary.tex,latex,Appendix exact-connected versus one-gap robustness comparison.,6,5
raw/ideology_k_gap_coalitions_all_parties.csv,raw,all_parties k=0/1 ideological domain; all valid votes in V; freshly recomputed minimality.,19837,34
raw/ideology_k_gap_minimal_majorities_all_parties.csv,raw,all_parties k=0/1 ideological domain; all valid votes in V; freshly recomputed minimality.,279,34
raw/ideology_k_gap_inversions_all_parties.csv,raw,all_parties k=0/1 ideological domain; all valid votes in V; freshly recomputed minimality.,165,34
tables/ideology_k_gap_summary_all_parties.csv,table,all_parties domain-minimal counts and strongest inversion.,6,22
diagnostics/ideology_k_gap_strongest_inversion_ties_all_parties.csv,diagnostic,Strongest minimal inversion exact ties in all_parties.,0,10
tables/ideological_universe_comparison.csv,table,"Primary and robustness counts, strongest cases, and endpoint-region sensitivity.",12,23
raw/ideology_k_gap_coalitions_both_universes.csv,raw,Complete k=0/1 enumeration in both explicitly labeled ideological universes.,31238,34
diagnostics/ideology_k_gap_checks.csv,diagnostic,"Both universes: order, domain membership, denominator, minimality, inversion, accounting and nesting checks.",150,6
latex/table_appendix_ideological_universe_comparison.tex,latex,Compact primary/all-party sensitivity table.,12,8
raw/ideological_intervals_2014.csv,raw,All contiguous ideological intervals for 2014.,406,39
raw/ideological_intervals_2018.csv,raw,All contiguous ideological intervals for 2018.,465,39
raw/ideological_intervals_2022.csv,raw,All contiguous ideological intervals for 2022.,276,39
raw/ideological_interval_metrics.csv,raw,Full-precision metrics and classifications for all contiguous ideological intervals.,1147,39
raw/ideological_interval_inversions_only.csv,raw,Contiguous ideological interval coalition inversions only.,12,39
raw/minimal_connected_inversion_metrics.csv,raw,Julia-filtered minimal connected ideological inversions with full-precision and Julia-generated display metrics.,7,44
raw/legacy_first_majority_sweeps.csv,raw,"Legacy first-seat-majority sweep diagnostic, not the main ideological result.",81,18
raw/ideological_interval_metrics_all_parties.csv,raw,All-party robustness exact-connected results.,1686,39
raw/ideological_interval_inversions_only_all_parties.csv,raw,All-party robustness exact-connected results.,14,39
raw/minimal_connected_inversion_metrics_all_parties.csv,raw,All-party robustness exact-connected results.,6,44
tables/table_appendix_minimal_connected_winning_intervals_all_parties.csv,table,Complete all-party robustness minimal winning compositions.,20,14
tables/table_05_ideological_interval_summary_by_election.csv,table,Legacy exact-connected interval diagnostic retained for baseline auditing; the manuscript summary uses ideology_k_gap_summary.csv.,3,5
tables/table_06_minimal_ideological_interval_inversions.csv,table,"Endpoint-minimal ideological interval inversions with rounded q_C, d_C, and r_C display columns.",7,13
latex/table_04_minimal_connected_inversion_tabular.tex,latex,CSV-driven tabularx for manuscript Table 4.,7,10
tables/table_appendix_minimal_connected_winning_intervals.csv,table,Endpoint-minimal connected winning ideological intervals.,20,14
latex/table_appendix_minimal_connected_winning_intervals.tex,latex,Landscape longtable for endpoint-minimal connected winning ideological intervals.,20,10
tables/table_appendix_cabinet_interval_bridge.csv,table,Observed cabinet coalitions compared with connected ideological closures and nearest minimal connected intervals.,53,86
latex/table_appendix_cabinet_interval_bridge.tex,latex,Landscape longtable comparing observed cabinet coalitions with connected ideological intervals.,53,11
tables/cabinet_interval_bridge_unidentified.csv,table,Cabinet intervals excluded from ideological bridge because their complete set is unidentified.,0,22
tables/table_appendix_cabinet_interval_bridge_all_parties.csv,table,"All-party robustness cabinet closures, gaps, and nearest intervals.",53,86
tables/table_01_definitions_classification_rules.csv,table,"Definitions, thresholds, ideology classification rules, and vote-column rules.",10,3
tables/table_07_audit_vote_columns_crosswalk.csv,table,Audit table for selected vote columns and converted legend-vote checks.,5,7
figure_data/party_vote_share_vs_seat_share.csv,figure_data,Party vote share versus seat share figure input.,99,10
figure_data/ideological_interval_heatmap.csv,figure_data,Ideological interval heatmap figure input.,1147,15
figure_data/observed_coalition_timeline.csv,figure_data,Observed cabinet coalition timeline used by Figure 2.,53,22
diagnostics/party_mapping_votes.csv,diagnostic,Raw-to-canonical party mapping for vote inputs.,99,7
diagnostics/party_mapping_seats.csv,diagnostic,Raw-to-canonical party mapping for seat inputs.,99,7
diagnostics/party_mapping_coalitions.csv,diagnostic,Raw-to-canonical party mapping for coalition inputs.,0,0
diagnostics/party_mapping_ideology.csv,diagnostic,Raw-to-canonical party mapping for ideology inputs.,102,10
diagnostics/vote_column_consistency.csv,diagnostic,Vote-column selection and consistency checks.,5,12
diagnostics/cabinet_translation_report.csv,diagnostic,Cabinet-party to election-party translation report.,427,12
diagnostics/audit_appendix_vote_columns_and_crosswalk.csv,diagnostic,Appendix-ready vote-column and crosswalk audit extract.,5,7
all_parties/audit/accounting_integration_checks.csv,audit,"Cardinality, registry, identity, and generation checks for manuscript integration.",12,5
all_parties/audit/coalition_party_component_checks.csv,audit,Exact and numerical closure audits of the focal member-party component vectors.,8,11
all_parties/audit/coalition_party_contribution_checks.csv,audit,"Per-case vote, seat, exact differential, source-regression, and inversion checks.",16,28
all_parties/figure_data/accounting_district_electoral_weight.csv,figure_data,State-year district electoral weights derived from audited valid votes and seats.,81,12
all_parties/figure_data/accounting_state_weighting_anatomy.csv,figure_data,Seven-case gross positive and negative state-weighting anatomy.,5,25
all_parties/latex/table_accounting_focal_cases.tex,latex,Generated compact sign-and-magnitude table for selected focal accounting vectors.,5,68
all_parties/latex/table_accounting_gross_components.tex,latex,Generated gross-component concentration appendix table.,20,29
all_parties/latex/table_accounting_minimal_ideological.tex,latex,Generated portrait tabular for all endpoint-minimal ideological decompositions.,6,68
all_parties/latex/table_accounting_selected_party_geography.tex,latex,Generated selected-party geography appendix table.,17,28
all_parties/latex/table_cabinet_district_concentration.tex,latex,Generated cabinet within-district concentration tabular.,2,14
all_parties/latex/table_coalition_party_component_extremes.tex,latex,Generated appendix table of largest member-party within- and between-district contributions.,8,34
all_parties/latex/table_coalition_party_contributions.tex,latex,Generated appendix table of focal coalition-party contribution diagnostics.,8,55
all_parties/raw/accounting_all_inversion_decomposition.csv,raw,Exact-audited accounting totals for all registered inversion cases.,16,68
all_parties/raw/accounting_focal_case_decomposition.csv,raw,Selected focal cabinet and ideological accounting vectors.,5,68
all_parties/raw/accounting_focal_party_contributions.csv,raw,Complete member-party vectors for the selected focal cases.,53,51
all_parties/raw/accounting_focal_party_state_contributions.csv,raw,Complete member-party-by-state cells for the selected focal cases.,1431,54
all_parties/raw/accounting_focal_state_contributions.csv,raw,Complete 27-state vectors for the selected focal cases.,135,50
all_parties/raw/accounting_gross_component_concentration.csv,raw,"Gross positive, negative, cancellation, and concentration diagnostics.",30,29
all_parties/raw/accounting_minimal_ideological_decomposition.csv,raw,All primary minimal connected ideological inversion decompositions.,6,68
all_parties/raw/accounting_selected_party_geography.csv,raw,Selected party differentials and state-level accounting geography.,17,28
all_parties/raw/coalition_party_contribution_named_aggregates.csv,raw,Named exact party aggregation used for the PP-PL substantive diagnostic.,1,12
all_parties/raw/coalition_party_contribution_summary.csv,raw,"Case-level gross, net, concentration, and top-two party contribution diagnostics.",16,53
all_parties/raw/coalition_party_contributions.csv,raw,Canonical complete case-party contribution vectors for all cabinet and ideological inversions.,198,50
all_parties/tables/table_accounting_focal_cases.csv,table,Manuscript table source for selected focal accounting vectors.,5,68
all_parties/tables/table_accounting_gross_components.csv,table,Appendix table source for gross focal accounting components.,20,29
all_parties/tables/table_accounting_minimal_ideological.csv,table,Manuscript table source for all endpoint-minimal ideological decompositions.,6,68
all_parties/tables/table_accounting_selected_party_geography.csv,table,Appendix table source for selected party state geography.,17,28
all_parties/tables/table_cabinet_district_concentration.csv,table,Exact district concentration for inverted cabinet vectors; shared table/prose source.,2,14
all_parties/tables/table_coalition_party_component_extremes.csv,table,Largest signed member-party A_i/B_i contributions for the existing focal appendix cases.,8,34
all_parties/tables/table_coalition_party_contributions.csv,table,Appendix table source for selected focal coalition-party contribution vectors.,8,55
figure_data/accounting_district_electoral_weight.csv,figure_data,State-year district electoral weights derived from audited valid votes and seats.,81,12
figure_data/accounting_state_weighting_anatomy.csv,figure_data,Seven-case gross positive and negative state-weighting anatomy.,6,25
figure_data/inversion_decomposition_components.csv,figure_data,"Long-form A_C, B_C, and d_C values for decomposition visualization.",6,5
latex/report/party_size_diagnostics.tex,latex,Central analysis report section; never synchronized into the manuscript.,99,0
latex/table_accounting_focal_cases.tex,latex,Generated compact sign-and-magnitude table for selected focal accounting vectors.,6,68
latex/table_accounting_gross_components.tex,latex,Generated gross-component concentration appendix table.,24,29
latex/table_accounting_minimal_ideological.tex,latex,Generated portrait tabular for all endpoint-minimal ideological decompositions.,7,68
latex/table_accounting_minimal_ideological_all_parties.tex,latex,All-party sensitivity: exact-connected minimal inversion decomposition.,6,68
latex/table_accounting_selected_party_geography.tex,latex,Generated selected-party geography appendix table.,17,28
latex/table_cabinet_district_concentration.tex,latex,Generated cabinet within-district concentration tabular.,2,14
latex/table_coalition_party_component_extremes.tex,latex,Generated appendix table of largest member-party within- and between-district contributions.,9,34
latex/table_coalition_party_contributions.tex,latex,Generated appendix table of focal coalition-party contribution diagnostics.,9,55
latex/table_inversion_party_contribution_extremes.tex,latex,Compact manuscript table of party contribution extremes.,2,6
latex/table_observed_inversion_decomposition.tex,latex,Portrait manuscript tabularx for all observed cabinet inversions and their accounting components.,2,9
raw/accounting_all_inversion_decomposition.csv,raw,Exact-audited accounting totals for all registered inversion cases.,14,68
raw/accounting_focal_case_decomposition.csv,raw,Selected focal cabinet and ideological accounting vectors.,6,68
raw/accounting_focal_party_contributions.csv,raw,Complete member-party vectors for the selected focal cases.,60,51
raw/accounting_focal_party_state_contributions.csv,raw,Complete member-party-by-state cells for the selected focal cases.,1620,54
raw/accounting_focal_state_contributions.csv,raw,Complete 27-state vectors for the selected focal cases.,162,50
raw/accounting_gross_component_concentration.csv,raw,"Gross positive, negative, cancellation, and concentration diagnostics.",36,29
raw/accounting_minimal_ideological_decomposition.csv,raw,All primary minimal connected ideological inversion decompositions.,7,68
raw/accounting_selected_party_geography.csv,raw,Selected party differentials and state-level accounting geography.,17,28
raw/cabinet_party_set_accounting.csv,raw,Party-size diagnostic: cabinet_sets; descriptive accounting only.,34,37
raw/cabinet_party_set_period_linkage.csv,raw,Party-size diagnostic: period_linkage; descriptive accounting only.,53,16
raw/coalition_party_contribution_named_aggregates.csv,raw,Named exact party aggregation used for the PP-PL substantive diagnostic.,1,12
raw/coalition_party_contribution_summary.csv,raw,"Case-level gross, net, concentration, and top-two party contribution diagnostics.",14,53
raw/coalition_party_contributions.csv,raw,Canonical complete case-party contribution vectors for all cabinet and ideological inversions.,162,50
raw/coalition_period_quantities.csv,raw,Release-derived coalition quantities for every observed cabinet period.,53,25
raw/district_accounting_all_years.csv,raw,Existing district accounting weights and closure.,81,16
raw/inversion_decomposition.csv,raw,Exact-audited A_C/B_C decomposition for all observed inversions.,2,24
raw/inversion_district_contributions.csv,raw,State-level a_Cd and b_Cd contributions for all observed inversions.,54,16
raw/inversion_party_contributions.csv,raw,"Full party-level d_i, A_i, and B_i vectors for all observed inversions.",16,19
raw/party_accounting_all_years.csv,raw,"Exact national party accounting, normalized components and cabinet participation.",99,31
raw/party_district_accounting_all_years.csv,raw,Complete existing party-district accounting panel.,2673,38
tables/prose_analysis_summaries.csv,table,Raw aggregates from existing analysis CSVs; summary/metric/aggregation/universe/k/election keys and upstream selections. No TeX or display values.,144,12
tables/report/party_fragmentation_summary.csv,table,Effective electoral and parliamentary party counts from the exact national party panel.,3,5
tables/report/party_size_cabinet_summary.csv,table,Party-size diagnostic: cabinet_size; descriptive accounting only.,8,10
tables/report/party_size_correlations.csv,table,Party-size diagnostic: correlations; descriptive accounting only.,4,7
tables/report/party_size_groups.csv,table,Party-size diagnostic: size_groups; descriptive accounting only.,16,13
tables/table_accounting_focal_cases.csv,table,Manuscript table source for selected focal accounting vectors.,6,68
tables/table_accounting_gross_components.csv,table,Appendix table source for gross focal accounting components.,24,29
tables/table_accounting_minimal_ideological.csv,table,Manuscript table source for all endpoint-minimal ideological decompositions.,7,68
tables/table_accounting_selected_party_geography.csv,table,Appendix table source for selected party state geography.,17,28
tables/table_cabinet_district_concentration.csv,table,Exact district concentration for inverted cabinet vectors; shared table/prose source.,2,14
tables/table_coalition_party_component_extremes.csv,table,Largest signed member-party A_i/B_i contributions for the existing focal appendix cases.,9,34
tables/table_coalition_party_contributions.csv,table,Appendix table source for selected focal coalition-party contribution vectors.,9,55
tables/table_inversion_party_contribution_extremes.csv,table,Largest positive and negative party accounting contributions by inversion.,2,8
tables/table_observed_inversion_decomposition.csv,table,Manuscript summary of coalition quantities and decomposition components.,2,24
diagnostics/decomposition_identity_checks.csv,diagnostic,Exact and floating-point decomposition identity results.,8,10
raw/ideology_k_gap_accounting_both_universes.csv,raw,Exact-audited ideological accounting with explicit party universe and all-valid-vote denominator.,31238,46
raw/ideology_k_gap_minimal_accounting_both_universes.csv,raw,Exact-audited ideological accounting with explicit party universe and all-valid-vote denominator.,533,46
figure_data/cross_domain_components_seat_winning.csv,figure_data,Exact-audited ideological accounting with explicit party universe and all-valid-vote denominator.,307,46
figure_data/cross_domain_components_all_parties.csv,figure_data,Exact-audited ideological accounting with explicit party universe and all-valid-vote denominator.,332,46
raw/ideology_k_gap_party_contributions_both_universes.csv.gz,raw,Complete exact member-party vectors for both ideological universes (deterministic gzip CSV).,475290,25
diagnostics/ideological_accounting_both_universes.json,diagnostic,Both-universe exact accounting and domain-relative minimality audit.,1,1
figure_data/party_representation_profile.csv,figure_data,Full-precision party representation-ratio profile used by the manuscript figure.,99,11
artifact_manifest.csv,manifest,Manifest of every generated paper-runner and decomposition artifact.,173,5
