election,ideological_universe,k,check,ok,detail
2014,all_parties,0,domain_relative_minimality_both_directions,true,every minimal label and every nonminimal winning label has the correct subset status
2014,all_parties,0,matches_established_interval_membership,true,D_0 and the established interval output must contain identical party sets
2014,all_parties,0,matches_established_interval_metrics,true,"membership, arithmetic, inversion, and minimality match"
2014,all_parties,0,baseline_minimal_majority_count,true,"expected=8, observed=8"
2014,all_parties,0,baseline_inversion_count,true,"expected=8, observed=8"
2014,all_parties,0,baseline_strongest_inversion,true,"expected=PTB--PR, observed=PTB--PR"
2014,all_parties,0,baseline_strongest_is_minimal,true,PTB--PR must be a minimal majority
2014,all_parties,1,analytical_domain_count,true,"expected=5488, observed=5488, n=32"
2014,all_parties,1,year_and_domain_labels,true,all rows must carry the correct election and k
2014,all_parties,1,canonical_party_sets_unique,true,"rows=5488, unique=5488"
2014,all_parties,1,gap_bound,true,all reported gaps must be between zero and k
2014,all_parties,1,span_membership_and_gap_count,true,all rows match their spans
2014,all_parties,1,party_sum_arithmetic,true,all coalition metrics equal party sums
2014,all_parties,1,strict_inversion_definition,true,all inversion flags use unrounded vote shares
2014,all_parties,1,domain_relative_minimality_both_directions,true,every minimal label and every nonminimal winning label has the correct subset status
2014,all_parties,1,D0_strict_subset_D1,true,"|D_0|=528, |D_1|=5488"
2014,all_parties,1,D0_metrics_unchanged_inside_D1,true,"shared party sets retain identical votes, seats, and q_C"
2018,all_parties,0,universe_exact_order,true,filter preserves the original relative order
2018,all_parties,0,analytical_domain_count,true,"expected=630, observed=630, n=35"
2018,all_parties,0,year_and_domain_labels,true,all rows must carry the correct election and k
2018,all_parties,0,canonical_party_sets_unique,true,"rows=630, unique=630"
2018,all_parties,0,gap_bound,true,all reported gaps must be between zero and k
2018,all_parties,0,span_membership_and_gap_count,true,all rows match their spans
2018,all_parties,0,party_sum_arithmetic,true,all coalition metrics equal party sums
2018,all_parties,0,strict_inversion_definition,true,all inversion flags use unrounded vote shares
2018,all_parties,0,domain_relative_minimality_both_directions,true,every minimal label and every nonminimal winning label has the correct subset status
2018,all_parties,0,matches_established_interval_membership,true,D_0 and the established interval output must contain identical party sets
2018,all_parties,0,matches_established_interval_metrics,true,"membership, arithmetic, inversion, and minimality match"
2018,all_parties,0,baseline_minimal_majority_count,true,"expected=8, observed=8"
2018,all_parties,0,baseline_inversion_count,true,"expected=0, observed=0"
2018,all_parties,0,baseline_strongest_inversion,true,"expected=None, observed=None"
2018,all_parties,1,analytical_domain_count,true,"expected=7175, observed=7175, n=35"
2018,all_parties,1,year_and_domain_labels,true,all rows must carry the correct election and k
2018,all_parties,1,canonical_party_sets_unique,true,"rows=7175, unique=7175"
2018,all_parties,1,gap_bound,true,all reported gaps must be between zero and k
2018,all_parties,1,span_membership_and_gap_count,true,all rows match their spans
2018,all_parties,1,party_sum_arithmetic,true,all coalition metrics equal party sums
2018,all_parties,1,strict_inversion_definition,true,all inversion flags use unrounded vote shares
2018,all_parties,1,domain_relative_minimality_both_directions,true,every minimal label and every nonminimal winning label has the correct subset status
2018,all_parties,1,D0_strict_subset_D1,true,"|D_0|=630, |D_1|=7175"
2018,all_parties,1,D0_metrics_unchanged_inside_D1,true,"shared party sets retain identical votes, seats, and q_C"
2022,all_parties,0,universe_exact_order,true,filter preserves the original relative order
2022,all_parties,0,analytical_domain_count,true,"expected=528, observed=528, n=32"
2022,all_parties,0,year_and_domain_labels,true,all rows must carry the correct election and k
2022,all_parties,0,canonical_party_sets_unique,true,"rows=528, unique=528"
2022,all_parties,0,gap_bound,true,all reported gaps must be between zero and k
2022,all_parties,0,span_membership_and_gap_count,true,all rows match their spans
2022,all_parties,0,party_sum_arithmetic,true,all coalition metrics equal party sums
2022,all_parties,0,strict_inversion_definition,true,all inversion flags use unrounded vote shares
2022,all_parties,0,domain_relative_minimality_both_directions,true,every minimal label and every nonminimal winning label has the correct subset status
2022,all_parties,0,matches_established_interval_membership,true,D_0 and the established interval output must contain identical party sets
2022,all_parties,0,matches_established_interval_metrics,true,"membership, arithmetic, inversion, and minimality match"
2022,all_parties,0,baseline_minimal_majority_count,true,"expected=4, observed=4"
2022,all_parties,0,baseline_inversion_count,true,"expected=6, observed=6"
2022,all_parties,0,baseline_strongest_inversion,true,"expected=PP--PL, observed=PP--PL"
2022,all_parties,0,baseline_strongest_is_minimal,true,PP--PL must be a minimal majority
2022,all_parties,0,baseline_pp_pl_display_regression,true,expected 45.35% and 258 seats
2022,all_parties,1,analytical_domain_count,true,"expected=5488, observed=5488, n=32"
2022,all_parties,1,year_and_domain_labels,true,all rows must carry the correct election and k
2022,all_parties,1,canonical_party_sets_unique,true,"rows=5488, unique=5488"
2022,all_parties,1,gap_bound,true,all reported gaps must be between zero and k
2022,all_parties,1,span_membership_and_gap_count,true,all rows match their spans
2022,all_parties,1,party_sum_arithmetic,true,all coalition metrics equal party sums
2022,all_parties,1,strict_inversion_definition,true,all inversion flags use unrounded vote shares
2022,all_parties,1,domain_relative_minimality_both_directions,true,every minimal label and every nonminimal winning label has the correct subset status
2022,all_parties,1,D0_strict_subset_D1,true,"|D_0|=528, |D_1|=5488"
2022,all_parties,1,D0_metrics_unchanged_inside_D1,true,"shared party sets retain identical votes, seats, and q_C"
2014,seat_winning,0,identical_national_denominator_across_universes,true,V includes votes cast for zero-seat parties in both domains
2014,seat_winning,0,no_vote_renormalization,true,shared members imply identical vote shares and observed seats
2014,seat_winning,1,identical_national_denominator_across_universes,true,V includes votes cast for zero-seat parties in both domains
2014,seat_winning,1,no_vote_renormalization,true,shared members imply identical vote shares and observed seats
2018,seat_winning,0,identical_national_denominator_across_universes,true,V includes votes cast for zero-seat parties in both domains
2018,seat_winning,0,no_vote_renormalization,true,shared members imply identical vote shares and observed seats
2018,seat_winning,1,identical_national_denominator_across_universes,true,V includes votes cast for zero-seat parties in both domains
2018,seat_winning,1,no_vote_renormalization,true,shared members imply identical vote shares and observed seats
2022,seat_winning,0,identical_national_denominator_across_universes,true,V includes votes cast for zero-seat parties in both domains
2022,seat_winning,0,no_vote_renormalization,true,shared members imply identical vote shares and observed seats
2022,seat_winning,1,identical_national_denominator_across_universes,true,V includes votes cast for zero-seat parties in both domains
2022,seat_winning,1,no_vote_renormalization,true,shared members imply identical vote shares and observed seats
