macro,semantic_key,description,domain,ideological_universe,k,election,case_id,case_label,selector_rule,metric,raw_value,exact_value,display_value,format,source_object,source_file,selector_source_file,selection_group,source_row_count
IdeologySeatWinningTwentyEighteenKZeroPTPSDBWithin,IdeologySeatWinningTwentyEighteenKZeroPTPSDBWithin,2018 seat_winning k=0 PTPSDB substantive interval: A_C (identity),ideological,seat_winning,0,2018,PT|PDT|PSB|REDE|PPS|PV|PTB|AVANTE|SOLIDARIEDADE|PMN|PHS|MDB|PSD|PSDB,PT--PSDB,"unique; filters=(election = 2018, ideological_universe = ""seat_winning"", k = 0, left_endpoint = ""PT"", right_endpoint = ""PSDB"", minimal_inversion = true); members=[""PT"", ""PDT"", ""PSB"", ""REDE"", ""PPS"", ""PV"", ""PTB"", ""AVANTE"", ""SOLIDARIEDADE"", ""PMN"", ""PHS"", ""MDB"", ""PSD"", ""PSDB""]",A_C,6.567768298801865,302450908818231149991672699167352328703189911406390417697464864277381175593711589616762450273966396380351772891897130555544534183573184123314572239633/46050788495904495703378504905612593413542337879733272867072417682984097342872291907105030872349873961718693420331066661872312427242356901182768873360,6.57,decimal2,ideology,raw/ideology_k_gap_accounting_both_universes.csv,raw/ideology_k_gap_accounting_both_universes.csv,IdeologySeatWinningTwentyEighteenKZeroPTPSDB,1
IdeologySeatWinningTwentyEighteenKZeroPTPSDBBetween,IdeologySeatWinningTwentyEighteenKZeroPTPSDBBetween,2018 seat_winning k=0 PTPSDB substantive interval: B_C (identity),ideological,seat_winning,0,2018,PT|PDT|PSB|REDE|PPS|PV|PTB|AVANTE|SOLIDARIEDADE|PMN|PHS|MDB|PSD|PSDB,PT--PSDB,"unique; filters=(election = 2018, ideological_universe = ""seat_winning"", k = 0, left_endpoint = ""PT"", right_endpoint = ""PSDB"", minimal_inversion = true); members=[""PT"", ""PDT"", ""PSB"", ""REDE"", ""PPS"", ""PV"", ""PTB"", ""AVANTE"", ""SOLIDARIEDADE"", ""PMN"", ""PHS"", ""MDB"", ""PSD"", ""PSDB""]",B_C,4.183380069693311,631013161309552082650286564303534362834956242523687393728036669683639539633950862246399372387551197368658943525724578434285232225924090869939547780270595823/150838114347045786255032301598701598186035762081943582477728293165336970275949934589841036786548458715012613893572059912162888802996804486187827509931099280,4.18,decimal2,ideology,raw/ideology_k_gap_accounting_both_universes.csv,raw/ideology_k_gap_accounting_both_universes.csv,IdeologySeatWinningTwentyEighteenKZeroPTPSDB,1
IdeologySeatWinningTwentyEighteenKZeroPTPSDBRatio,IdeologySeatWinningTwentyEighteenKZeroPTPSDBRatio,2018 seat_winning k=0 PTPSDB substantive interval: R_C (identity),ideological,seat_winning,0,2018,PT|PDT|PSB|REDE|PPS|PV|PTB|AVANTE|SOLIDARIEDADE|PMN|PHS|MDB|PSD|PSDB,PT--PSDB,"unique; filters=(election = 2018, ideological_universe = ""seat_winning"", k = 0, left_endpoint = ""PT"", right_endpoint = ""PSDB"", minimal_inversion = true); members=[""PT"", ""PDT"", ""PSB"", ""REDE"", ""PPS"", ""PV"", ""PTB"", ""AVANTE"", ""SOLIDARIEDADE"", ""PMN"", ""PHS"", ""MDB"", ""PSD"", ""PSDB""]",R_C,1.0419558889729414,1457585485/1398893658,1.042,decimal3,ideology,raw/ideology_k_gap_accounting_both_universes.csv,raw/ideology_k_gap_accounting_both_universes.csv,IdeologySeatWinningTwentyEighteenKZeroPTPSDB,1
IdeologySeatWinningTwentyEighteenKZeroPTPSDBSeats,IdeologySeatWinningTwentyEighteenKZeroPTPSDBSeats,2018 seat_winning k=0 PTPSDB substantive interval: seats (identity),ideological,seat_winning,0,2018,PT|PDT|PSB|REDE|PPS|PV|PTB|AVANTE|SOLIDARIEDADE|PMN|PHS|MDB|PSD|PSDB,PT--PSDB,"unique; filters=(election = 2018, ideological_universe = ""seat_winning"", k = 0, left_endpoint = ""PT"", right_endpoint = ""PSDB"", minimal_inversion = true); members=[""PT"", ""PDT"", ""PSB"", ""REDE"", ""PPS"", ""PV"", ""PTB"", ""AVANTE"", ""SOLIDARIEDADE"", ""PMN"", ""PHS"", ""MDB"", ""PSD"", ""PSDB""]",seats,267,,267,integer,ideology,raw/ideology_k_gap_accounting_both_universes.csv,raw/ideology_k_gap_accounting_both_universes.csv,IdeologySeatWinningTwentyEighteenKZeroPTPSDB,1
IdeologySeatWinningTwentyEighteenKZeroPTPSDBPartiesWords,IdeologySeatWinningTwentyEighteenKZeroPTPSDBPartiesWords,2018 seat_winning k=0 PTPSDB substantive interval: party_count (identity),ideological,seat_winning,0,2018,PT|PDT|PSB|REDE|PPS|PV|PTB|AVANTE|SOLIDARIEDADE|PMN|PHS|MDB|PSD|PSDB,PT--PSDB,"unique; filters=(election = 2018, ideological_universe = ""seat_winning"", k = 0, left_endpoint = ""PT"", right_endpoint = ""PSDB"", minimal_inversion = true); members=[""PT"", ""PDT"", ""PSB"", ""REDE"", ""PPS"", ""PV"", ""PTB"", ""AVANTE"", ""SOLIDARIEDADE"", ""PMN"", ""PHS"", ""MDB"", ""PSD"", ""PSDB""]",party_count,14,,fourteen,words,ideology,raw/ideology_k_gap_accounting_both_universes.csv,raw/ideology_k_gap_accounting_both_universes.csv,IdeologySeatWinningTwentyEighteenKZeroPTPSDB,1
IdeologySeatWinningTwentyTwentyTwoKZeroMDBUniaoVotePct,IdeologySeatWinningTwentyTwentyTwoKZeroMDBUniaoVotePct,2022 seat_winning k=0 MDBUniao substantive interval: vote_share (identity),ideological,seat_winning,0,2022,MDB|PSDB|PSD|PODE|PROS|PTB|PP|REPUBLICANOS|PSC|UNIÃO,MDB--UNIÃO,"unique; filters=(election = 2022, ideological_universe = ""seat_winning"", k = 0, left_endpoint = ""MDB"", right_endpoint = ""UNIÃO"", minimal_inversion = true); members=[""MDB"", ""PSDB"", ""PSD"", ""PODE"", ""PROS"", ""PTB"", ""PP"", ""REPUBLICANOS"", ""PSC"", ""UNIÃO""]",vote_share,0.492189812614362,26926107//54706754,49.22,pct2,ideology,raw/ideology_k_gap_accounting_both_universes.csv,raw/ideology_k_gap_accounting_both_universes.csv,IdeologySeatWinningTwentyTwentyTwoKZeroMDBUniao,1
IdeologySeatWinningTwentyTwentyTwoKZeroMDBUniaoQuota,IdeologySeatWinningTwentyTwentyTwoKZeroMDBUniaoQuota,2022 seat_winning k=0 MDBUniao substantive interval: q_C (identity),ideological,seat_winning,0,2022,MDB|PSDB|PSD|PODE|PROS|PTB|PP|REPUBLICANOS|PSC|UNIÃO,MDB--UNIÃO,"unique; filters=(election = 2022, ideological_universe = ""seat_winning"", k = 0, left_endpoint = ""MDB"", right_endpoint = ""UNIÃO"", minimal_inversion = true); members=[""MDB"", ""PSDB"", ""PSD"", ""PODE"", ""PROS"", ""PTB"", ""PP"", ""REPUBLICANOS"", ""PSC"", ""UNIÃO""]",q_C,252.4933738711677,13813092891/54706754,252.49,decimal2,ideology,raw/ideology_k_gap_accounting_both_universes.csv,raw/ideology_k_gap_accounting_both_universes.csv,IdeologySeatWinningTwentyTwentyTwoKZeroMDBUniao,1
IdeologySeatWinningTwentyTwentyTwoKZeroMDBUniaoRequired,IdeologySeatWinningTwentyTwentyTwoKZeroMDBUniaoRequired,2022 seat_winning k=0 MDBUniao substantive interval: r_C (identity),ideological,seat_winning,0,2022,MDB|PSDB|PSD|PODE|PROS|PTB|PP|REPUBLICANOS|PSC|UNIÃO,MDB--UNIÃO,"unique; filters=(election = 2022, ideological_universe = ""seat_winning"", k = 0, left_endpoint = ""MDB"", right_endpoint = ""UNIÃO"", minimal_inversion = true); members=[""MDB"", ""PSDB"", ""PSD"", ""PODE"", ""PROS"", ""PTB"", ""PP"", ""REPUBLICANOS"", ""PSC"", ""UNIÃO""]",r_C,4.506626128832295,,4.51,decimal2,ideology,raw/ideology_k_gap_accounting_both_universes.csv,raw/ideology_k_gap_accounting_both_universes.csv,IdeologySeatWinningTwentyTwentyTwoKZeroMDBUniao,1
IdeologySeatWinningTwentyTwentyTwoKZeroMDBUniaoDifferential,IdeologySeatWinningTwentyTwentyTwoKZeroMDBUniaoDifferential,2022 seat_winning k=0 MDBUniao substantive interval: d_C (identity),ideological,seat_winning,0,2022,MDB|PSDB|PSD|PODE|PROS|PTB|PP|REPUBLICANOS|PSC|UNIÃO,MDB--UNIÃO,"unique; filters=(election = 2022, ideological_universe = ""seat_winning"", k = 0, left_endpoint = ""MDB"", right_endpoint = ""UNIÃO"", minimal_inversion = true); members=[""MDB"", ""PSDB"", ""PSD"", ""PODE"", ""PROS"", ""PTB"", ""PP"", ""REPUBLICANOS"", ""PSC"", ""UNIÃO""]",d_C,12.506626128832282,684196919/54706754,12.51,decimal2,ideology,raw/ideology_k_gap_accounting_both_universes.csv,raw/ideology_k_gap_accounting_both_universes.csv,IdeologySeatWinningTwentyTwentyTwoKZeroMDBUniao,1
IdeologySeatWinningTwentyTwentyTwoKZeroMDBUniaoWithin,IdeologySeatWinningTwentyTwentyTwoKZeroMDBUniaoWithin,2022 seat_winning k=0 MDBUniao substantive interval: A_C (identity),ideological,seat_winning,0,2022,MDB|PSDB|PSD|PODE|PROS|PTB|PP|REPUBLICANOS|PSC|UNIÃO,MDB--UNIÃO,"unique; filters=(election = 2022, ideological_universe = ""seat_winning"", k = 0, left_endpoint = ""MDB"", right_endpoint = ""UNIÃO"", minimal_inversion = true); members=[""MDB"", ""PSDB"", ""PSD"", ""PODE"", ""PROS"", ""PTB"", ""PP"", ""REPUBLICANOS"", ""PSC"", ""UNIÃO""]",A_C,2.953163469827912,16118099502949311198708642387509960609040706836209830050840284749281654399145261750720097281391047606029956337362700351433230873429166659394848601/5457909684860266280825219885461805256305214910472184618146647239163815187260721224771938912841741732519733746378602868320677228979505518280442200,2.95,decimal2,ideology,raw/ideology_k_gap_accounting_both_universes.csv,raw/ideology_k_gap_accounting_both_universes.csv,IdeologySeatWinningTwentyTwentyTwoKZeroMDBUniao,1
IdeologySeatWinningTwentyTwentyTwoKZeroMDBUniaoBetween,IdeologySeatWinningTwentyTwentyTwoKZeroMDBUniaoBetween,2022 seat_winning k=0 MDBUniao substantive interval: B_C (identity),ideological,seat_winning,0,2022,MDB|PSDB|PSD|PODE|PROS|PTB|PP|REPUBLICANOS|PSC|UNIÃO,MDB--UNIÃO,"unique; filters=(election = 2022, ideological_universe = ""seat_winning"", k = 0, left_endpoint = ""MDB"", right_endpoint = ""UNIÃO"", minimal_inversion = true); members=[""MDB"", ""PSDB"", ""PSD"", ""PODE"", ""PROS"", ""PTB"", ""PP"", ""REPUBLICANOS"", ""PSC"", ""UNIÃO""]",B_C,9.55346265900437,1426258043053142446321502703181509980476776620251640042981000290073417671741067933422306698496700204399177098996862616563999377621670316445230479957715323/149292261241934055899800110634933578276298170512166913873766283218857001575468104953088584103930302946245437104316308990456841139591739715105327223309400,9.55,decimal2,ideology,raw/ideology_k_gap_accounting_both_universes.csv,raw/ideology_k_gap_accounting_both_universes.csv,IdeologySeatWinningTwentyTwentyTwoKZeroMDBUniao,1
IdeologySeatWinningTwentyTwentyTwoKZeroMDBUniaoRatio,IdeologySeatWinningTwentyTwentyTwoKZeroMDBUniaoRatio,2022 seat_winning k=0 MDBUniao substantive interval: R_C (identity),ideological,seat_winning,0,2022,MDB|PSDB|PSD|PODE|PROS|PTB|PP|REPUBLICANOS|PSC|UNIÃO,MDB--UNIÃO,"unique; filters=(election = 2022, ideological_universe = ""seat_winning"", k = 0, left_endpoint = ""MDB"", right_endpoint = ""UNIÃO"", minimal_inversion = true); members=[""MDB"", ""PSDB"", ""PSD"", ""PODE"", ""PROS"", ""PTB"", ""PP"", ""REPUBLICANOS"", ""PSC"", ""UNIÃO""]",R_C,1.049532492425776,14497289810/13813092891,1.050,decimal3,ideology,raw/ideology_k_gap_accounting_both_universes.csv,raw/ideology_k_gap_accounting_both_universes.csv,IdeologySeatWinningTwentyTwentyTwoKZeroMDBUniao,1
IdeologySeatWinningTwentyTwentyTwoKZeroMDBUniaoSeats,IdeologySeatWinningTwentyTwentyTwoKZeroMDBUniaoSeats,2022 seat_winning k=0 MDBUniao substantive interval: seats (identity),ideological,seat_winning,0,2022,MDB|PSDB|PSD|PODE|PROS|PTB|PP|REPUBLICANOS|PSC|UNIÃO,MDB--UNIÃO,"unique; filters=(election = 2022, ideological_universe = ""seat_winning"", k = 0, left_endpoint = ""MDB"", right_endpoint = ""UNIÃO"", minimal_inversion = true); members=[""MDB"", ""PSDB"", ""PSD"", ""PODE"", ""PROS"", ""PTB"", ""PP"", ""REPUBLICANOS"", ""PSC"", ""UNIÃO""]",seats,265,,265,integer,ideology,raw/ideology_k_gap_accounting_both_universes.csv,raw/ideology_k_gap_accounting_both_universes.csv,IdeologySeatWinningTwentyTwentyTwoKZeroMDBUniao,1
IdeologySeatWinningTwentyTwentyTwoKZeroMDBUniaoPartiesWords,IdeologySeatWinningTwentyTwentyTwoKZeroMDBUniaoPartiesWords,2022 seat_winning k=0 MDBUniao substantive interval: party_count (identity),ideological,seat_winning,0,2022,MDB|PSDB|PSD|PODE|PROS|PTB|PP|REPUBLICANOS|PSC|UNIÃO,MDB--UNIÃO,"unique; filters=(election = 2022, ideological_universe = ""seat_winning"", k = 0, left_endpoint = ""MDB"", right_endpoint = ""UNIÃO"", minimal_inversion = true); members=[""MDB"", ""PSDB"", ""PSD"", ""PODE"", ""PROS"", ""PTB"", ""PP"", ""REPUBLICANOS"", ""PSC"", ""UNIÃO""]",party_count,10,,ten,words,ideology,raw/ideology_k_gap_accounting_both_universes.csv,raw/ideology_k_gap_accounting_both_universes.csv,IdeologySeatWinningTwentyTwentyTwoKZeroMDBUniao,1
IdeologySeatWinningTwentyTwentyTwoKZeroPPPLVotePct,IdeologySeatWinningTwentyTwentyTwoKZeroPPPLVotePct,2022 seat_winning k=0 PPPL substantive interval: vote_share (identity),ideological,seat_winning,0,2022,PP|REPUBLICANOS|PSC|UNIÃO|PATRIOTA|NOVO|PL,PP--PL,"unique; filters=(election = 2022, ideological_universe = ""seat_winning"", k = 0, left_endpoint = ""PP"", right_endpoint = ""PL"", minimal_inversion = true); members=[""PP"", ""REPUBLICANOS"", ""PSC"", ""UNIÃO"", ""PATRIOTA"", ""NOVO"", ""PL""]",vote_share,0.4526056142903306,12380292//27353377,45.26,pct2,ideology,raw/ideology_k_gap_accounting_both_universes.csv,raw/ideology_k_gap_accounting_both_universes.csv,IdeologySeatWinningTwentyTwentyTwoKZeroPPPL,1
IdeologySeatWinningTwentyTwentyTwoKZeroPPPLQuota,IdeologySeatWinningTwentyTwentyTwoKZeroPPPLQuota,2022 seat_winning k=0 PPPL substantive interval: q_C (identity),ideological,seat_winning,0,2022,PP|REPUBLICANOS|PSC|UNIÃO|PATRIOTA|NOVO|PL,PP--PL,"unique; filters=(election = 2022, ideological_universe = ""seat_winning"", k = 0, left_endpoint = ""PP"", right_endpoint = ""PL"", minimal_inversion = true); members=[""PP"", ""REPUBLICANOS"", ""PSC"", ""UNIÃO"", ""PATRIOTA"", ""NOVO"", ""PL""]",q_C,232.18668013093958,6351089796/27353377,232.19,decimal2,ideology,raw/ideology_k_gap_accounting_both_universes.csv,raw/ideology_k_gap_accounting_both_universes.csv,IdeologySeatWinningTwentyTwentyTwoKZeroPPPL,1
IdeologySeatWinningTwentyTwentyTwoKZeroPPPLRequired,IdeologySeatWinningTwentyTwentyTwoKZeroPPPLRequired,2022 seat_winning k=0 PPPL substantive interval: r_C (identity),ideological,seat_winning,0,2022,PP|REPUBLICANOS|PSC|UNIÃO|PATRIOTA|NOVO|PL,PP--PL,"unique; filters=(election = 2022, ideological_universe = ""seat_winning"", k = 0, left_endpoint = ""PP"", right_endpoint = ""PL"", minimal_inversion = true); members=[""PP"", ""REPUBLICANOS"", ""PSC"", ""UNIÃO"", ""PATRIOTA"", ""NOVO"", ""PL""]",r_C,24.81331986906042,,24.81,decimal2,ideology,raw/ideology_k_gap_accounting_both_universes.csv,raw/ideology_k_gap_accounting_both_universes.csv,IdeologySeatWinningTwentyTwentyTwoKZeroPPPL,1
IdeologySeatWinningTwentyTwentyTwoKZeroPPPLDifferential,IdeologySeatWinningTwentyTwentyTwoKZeroPPPLDifferential,2022 seat_winning k=0 PPPL substantive interval: d_C (identity),ideological,seat_winning,0,2022,PP|REPUBLICANOS|PSC|UNIÃO|PATRIOTA|NOVO|PL,PP--PL,"unique; filters=(election = 2022, ideological_universe = ""seat_winning"", k = 0, left_endpoint = ""PP"", right_endpoint = ""PL"", minimal_inversion = true); members=[""PP"", ""REPUBLICANOS"", ""PSC"", ""UNIÃO"", ""PATRIOTA"", ""NOVO"", ""PL""]",d_C,25.813319869060408,706081470/27353377,25.81,decimal2,ideology,raw/ideology_k_gap_accounting_both_universes.csv,raw/ideology_k_gap_accounting_both_universes.csv,IdeologySeatWinningTwentyTwentyTwoKZeroPPPL,1
IdeologySeatWinningTwentyTwentyTwoKZeroPPPLWithin,IdeologySeatWinningTwentyTwentyTwoKZeroPPPLWithin,2022 seat_winning k=0 PPPL substantive interval: A_C (identity),ideological,seat_winning,0,2022,PP|REPUBLICANOS|PSC|UNIÃO|PATRIOTA|NOVO|PL,PP--PL,"unique; filters=(election = 2022, ideological_universe = ""seat_winning"", k = 0, left_endpoint = ""PP"", right_endpoint = ""PL"", minimal_inversion = true); members=[""PP"", ""REPUBLICANOS"", ""PSC"", ""UNIÃO"", ""PATRIOTA"", ""NOVO"", ""PL""]",A_C,23.321113301517023,74206881077492760621745095062462775841303844514503067311588504049954604659306210692560479221914858547787965331718910277160513532057017750310646441377/3181961346273535241721103193224232464425940292805283632379495340432504254173000474042040386186735430059004774138725472230954824495051717157497802600,23.32,decimal2,ideology,raw/ideology_k_gap_accounting_both_universes.csv,raw/ideology_k_gap_accounting_both_universes.csv,IdeologySeatWinningTwentyTwentyTwoKZeroPPPL,1
IdeologySeatWinningTwentyTwentyTwoKZeroPPPLBetween,IdeologySeatWinningTwentyTwentyTwoKZeroPPPLBetween,2022 seat_winning k=0 PPPL substantive interval: B_C (identity),ideological,seat_winning,0,2022,PP|REPUBLICANOS|PSC|UNIÃO|PATRIOTA|NOVO|PL,PP--PL,"unique; filters=(election = 2022, ideological_universe = ""seat_winning"", k = 0, left_endpoint = ""PP"", right_endpoint = ""PL"", minimal_inversion = true); members=[""PP"", ""REPUBLICANOS"", ""PSC"", ""UNIÃO"", ""PATRIOTA"", ""NOVO"", ""PL""]",B_C,2.4922065675433847,216915150753171089513893889549077242049914397521600723087196847686297905435766469507262834220394059197827545879451854518930745827100932156651290756884341871/87037388304047554589583464500166276135081833408593310788405743116593631918497905187650644532591366617661089831816408141436338384381984253906405771189380200,2.49,decimal2,ideology,raw/ideology_k_gap_accounting_both_universes.csv,raw/ideology_k_gap_accounting_both_universes.csv,IdeologySeatWinningTwentyTwentyTwoKZeroPPPL,1
IdeologySeatWinningTwentyTwentyTwoKZeroPPPLRatio,IdeologySeatWinningTwentyTwentyTwoKZeroPPPLRatio,2022 seat_winning k=0 PPPL substantive interval: R_C (identity),ideological,seat_winning,0,2022,PP|REPUBLICANOS|PSC|UNIÃO|PATRIOTA|NOVO|PL,PP--PL,"unique; filters=(election = 2022, ideological_universe = ""seat_winning"", k = 0, left_endpoint = ""PP"", right_endpoint = ""PL"", minimal_inversion = true); members=[""PP"", ""REPUBLICANOS"", ""PSC"", ""UNIÃO"", ""PATRIOTA"", ""NOVO"", ""PL""]",R_C,1.1111748522977425,1176195211/1058514966,1.111,decimal3,ideology,raw/ideology_k_gap_accounting_both_universes.csv,raw/ideology_k_gap_accounting_both_universes.csv,IdeologySeatWinningTwentyTwentyTwoKZeroPPPL,1
