section,line,anchor,current,reason,new,source,kind,group,priority
Cabinet coalitional inversions,1144,The initial Lula III cabinet provides,"The initial Lula III cabinet provides the converse transition. Its members hold 263 seats with 48.89 percent of the 2022 vote. Their proportional quota is 250.80 seats, so a 12.20-seat differential, corresponding to \(R_C=1.049\), more than covers the 6.20 seats separating the coalition from a majority. After 255 days, the entry of PP and Republicanos expands the coalition to 350 seats and 63.79 percent of the vote. Whereas PSC's departure ends the Bolsonaro-period inversion by removing the seat majority, this expansion ends the Lula-period inversion by supplying a vote majority as well. Across these cases, the underlying election-year vote--seat distribution remains fixed. Inversion status changes because cabinet entry and exit alter both the coalition's proportional distance from 257 seats and the party differentials accumulated within it.",The Lula numbers survive but the converse-transition argument references a removed case.,"CV5-041/2023.1 retains the same party set, quantities and 255-day duration. Its comparison to a Bolsonaro inversion is unsupported; use V5 entry/service dates for the endpoint.",generated/cabinet_v5/cabinet_inversions.csv; generated/cabinet_v5/cabinet_analysis_before_after.csv (comparison_baseline=manuscript_reported),transition,C,BLOCKING
Cabinet coalitional inversions,1197,the pattern extends to the entire,"The within-district component is positive in every cabinet inversion, but the pattern extends to the entire cabinet sequence: \(A_C>0\) in all twenty-three periods, whereas \(B_C>0\) in only six. Cabinet composition helps explain the difference. Parties that enter cabinet are larger on average than parties that never do, with mean vote shares of 5.63 versus 0.91 percent in 2014, 5.05 versus 1.85 percent in 2018, and 5.80 versus 1.72 percent in 2022. Larger parties are also usually on the positive side of the within-district component. Among parties receiving at least 5 percent of the national vote, \(A_i>0\) for six of seven in 2014, eight of nine in 2018, and all seven in 2022.\footnote{The parties above 5 percent with positive \(A_i\) are PSDB, PMDB, PP, PSB, PSD, and PR in 2014; PT, PSDB, PSD, MDB, PSB, PP, PR, and PRB in 2018; and PL, PT, UNIÃO, PP, PSD, MDB, and Republicanos in 2022. The exceptions are PT in 2014 and PSL in 2018.} In every distinct cabinet composition, the positive \(A_i\) contributions of members above this 5 percent benchmark exceed the combined negative contributions of the remaining members. Cabinet coalitions therefore repeatedly accumulate a positive within-district component. No equivalent pattern appears for \(B_C\), which may reinforce or offset that advantage depending on where coalition support is distributed across districts.",Counts and selection-dependent party-size summaries must be evaluated against the enlarged chronology.,A_C>0 in 53/53 periods; B_C>0 in 19; R_C>1 in 50; R_C<1 in 3. Ever/never cabinet mean vote shares: 2014 5.720562356882122%/0.8347979203981275%; 2018 5.412186779334364%/1.8351252882662546%; 2022 5.567791806230482%/1.6593249162617105%. Participation uses primary sets and includes provisional dates.,generated/cabinet_v5/cabinet_analysis_periods.csv; processing/Processing/output/decomposition/tables/report/party_size_cabinet_summary.csv,numerical; limitation/provenance,A,BLOCKING
Cabinet coalitional inversions,1197,In every distinct cabinet composition,"The within-district component is positive in every cabinet inversion, but the pattern extends to the entire cabinet sequence: \(A_C>0\) in all twenty-three periods, whereas \(B_C>0\) in only six. Cabinet composition helps explain the difference. Parties that enter cabinet are larger on average than parties that never do, with mean vote shares of 5.63 versus 0.91 percent in 2014, 5.05 versus 1.85 percent in 2018, and 5.80 versus 1.72 percent in 2022. Larger parties are also usually on the positive side of the within-district component. Among parties receiving at least 5 percent of the national vote, \(A_i>0\) for six of seven in 2014, eight of nine in 2018, and all seven in 2022.\footnote{The parties above 5 percent with positive \(A_i\) are PSDB, PMDB, PP, PSB, PSD, and PR in 2014; PT, PSDB, PSD, MDB, PSB, PP, PR, and PRB in 2018; and PL, PT, UNIÃO, PP, PSD, MDB, and Republicanos in 2022. The exceptions are PT in 2014 and PSL in 2018.} In every distinct cabinet composition, the positive \(A_i\) contributions of members above this 5 percent benchmark exceed the combined negative contributions of the remaining members. Cabinet coalitions therefore repeatedly accumulate a positive within-district component. No equivalent pattern appears for \(B_C\), which may reinforce or offset that advantage depending on where coalition support is distributed across districts.",The enlarged chronology adds a direct counterexample to the universal large-party-dominance claim; the exception itself is evidence-established.,"The claim fails in CV5-030/2020.9, December 9, 2020-February 11, 2021: DEM;PSC;PSD;PSL. Large-party positive A=4.2634970812796755; all negative A=-5.49437225087713; balance=-1.2308751695974545. It holds in 33 of 34 distinct sets. Total A remains positive because smaller parties also contribute positive A.",processing/Processing/output/decomposition/raw/cabinet_party_set_accounting.csv,interpretive,C,IMPORTANT
Cabinet coalitional inversions,1304,The four inverted cabinet periods,"The four inverted cabinet periods differ in how this positive \(A_C\) interacts with between-district weighting. In 2016.2, \(A_C=15.74\) raises the coalition from its proportional quota of 238.73 to 254.47 seats, still short of a Chamber majority. The additional \(B_C=4.53\) is therefore needed to cross the 257-seat threshold. In 2017.1, the 2018-linked configuration, and 2023.1, \(A_C\) alone is already sufficient to cross the threshold, while negative \(B_C\) reduces the resulting seat advantage. The largest offset occurs in the 2018 inversion, where \(A_C=19.07\) and \(B_C=-4.45\), leaving exactly 257 seats. The common feature of the cabinet inversions is thus the positive within-district component; between-district weighting determines whether that advantage is reinforced or reduced and, in 2016.2, whether it is enough to produce an inversion.",The four-case comparison and old period labels are stale.,"Only Dilma CV5-005 and Lula CV5-041 remain. Dilma q+A=254.47093010683732<257, with B closing the shortfall; Lula q+A=263.991908723467 and B=-0.9919087234670415 reduces the result to 263 seats. No Temer or Bolsonaro inversion can support the comparison.",generated/cabinet_v5/cabinet_inversions.csv,interpretive,C,BLOCKING
Cabinet coalitional inversions,1358,than inversion. Figure,"The full cabinet sequence shows that overrepresentation is much more common than inversion. Figure~\ref{fig:timeline} shows that twenty of the twenty-three periods have \(R_C>1\); the only three underrepresented configurations occur during the Bolsonaro administration. Most overrepresented cabinets do not reverse majority status: some remain below both 50 percent of the vote and 257 seats, while others exceed both. The four inversions are the cases in which these two thresholds diverge, with the coalition holding at least 257 seats while remaining below 50 percent of the vote.",Figure 2 now contains the full 53-period primary chronology and displays provisional days.,A_C>0 in 53/53 periods; B_C>0 in 19; R_C>1 in 50; R_C<1 in 3. Report administration/election membership of the underrepresented periods from the canonical CSV.,generated/cabinet_v5/cabinet_analysis_periods.csv,numerical,A,BLOCKING
Cabinet coalitional inversions,1409,"Measured over time, inversions occupy","Measured over time, inversions occupy 102 of the 1461 covered days following the 2014 election, 238 of 1461 following the 2018 election, and 255 of 1174 in the observed period following the 2022 election. The mismatch therefore extends beyond the brief 2016 transition to configurations maintained for several months. Its appearance and disappearance follow changes in cabinet membership: party entry or exit can move a coalition across the seat-majority threshold, the vote-majority threshold, or both. The same electoral distribution can therefore sustain different majority relations as its parties are recombined in government.",The old 102 and 238 day totals are obsolete; the 255 day total survives.,Inversion days by election: 2014=5/1461; 2018=0/1461; 2022=255/1174. Total=260/4096. Disclose 100 provisional days in the full denominator; none is a primary inversion day.,generated/cabinet_v5/cabinet_inversions.csv; processing/Processing/output/paper/raw/observed_cabinet_duration_summary.csv,numerical,A,BLOCKING
Ideologically constrained potential coalitions,1570,"threshold under exact connectedness, alongside","The 2018 configuration differs. PT--PSDB is the only exact-connected minimal inversion, so the inversion interval now extends from the principal party of the left through PSDB rather than excluding PT altogether. Its fourteen parties receive 49.95 percent of all valid votes and hold 267 seats. Figure~\ref{fig:minimal-connected-inversions} makes an important distinction visible: this is a broad interval in terms of the number of party positions it spans, but a inversion case, since its vote share lies only 0.05 percentage points below one half. The proportional quota is 256.25 seats and the differential is 10.75 seats. The other seven minimal connected majorities have vote majorities, including both overrepresented and underrepresented combinations. This election therefore supplies an inversion very close to the vote-majority threshold under exact connectedness, alongside the observed PSC-inclusive cabinet inversion.",An unchanged ideological paragraph contains an indirect reference to the removed cabinet case.,The 2018 PT--PSDB ideological inversion remains unchanged; there is no accompanying primary cabinet inversion.,generated/cabinet_v5/cabinet_inversions.csv,interpretive,C,BLOCKING
Comparing decomposition patterns across coalition domains,1881,"In the 2018 cabinet inversion, for example","The \(A_i\) contributions of individual coalition members help explain the persistent positive within-district component of cabinet coalitions.\footnote{The largest member-party \(A_i\) and \(B_i\) contributions for the focal coalitions are reported in Appendix~\ref{app:party-contributions}.} Cabinets repeatedly combine large parties carrying substantial positive \(A_i\) contributions. In the 2018 cabinet inversion, for example, PP and PR contribute \(7.32\) and \(6.37\) seats to \(A_C\). In the initial 2023 cabinet, UNIÃO and PT contribute \(9.36\) and \(9.07\) seats. Cabinet membership therefore repeatedly places substantial positive \(A_i\) contributions in the same coalition. This pattern extends beyond the inverted configurations: \(A_C\) is positive in all twenty-three observed cabinet periods.",Party-level constants survive while their cabinet-case attribution does not.,"A_C>0 in 53/53 periods; B_C>0 in 19; R_C>1 in 50; R_C<1 in 3. PP and PR party A_i values remain unchanged, but they cannot be described as contributions to a V5 cabinet inversion in 2018.",generated/cabinet_v5/cabinet_inversions.csv; processing/Processing/output/decomposition/raw/party_accounting_all_years.csv,interpretive,C,BLOCKING
Comparing decomposition patterns across coalition domains,1934,component: \(B_C\) is positive in only,"Cabinet coalitions show no comparable tendency in the between-district component: \(B_C\) is positive in only six of the twenty-three periods. The two components can also pull in opposite directions for the same party. In the initial 2023 cabinet, for example, PT contributes \(9.07\) seats to \(A_C\) but \(-2.13\) seats to \(B_C\). Among the 2014 inversions, between-district weighting reinforces the within-district component in the Dilma cabinet inversion and the PTB--PR interval, but offsets it in the Temer cabinet inversion and the other three minimal connected inversions. The contrast is especially clear in 2018. The observed cabinet inversion has a large positive within-district component (\(A_C=19.07\)) that more than offsets its negative between-district component (\(B_C=-4.45\)). The PT--PSDB connected inversion instead combines positive contributions from both components (\(A_C=6.57\), \(B_C=4.18\)). Its proportional quota is only \(0.75\) seats below the majority threshold, so either component individually exceeds that shortfall. Between-district weighting therefore enlarges the PT--PSDB coalition's seat majority, whereas it reduces the seat advantage of the observed 2018 cabinet inversion.",The sign count and two cabinet examples are obsolete.,A_C>0 in 53/53 periods; B_C>0 in 19; R_C>1 in 50; R_C<1 in 3. B reinforces the Dilma inversion and offsets the Lula inversion. Remove/reconsider comparisons invoking Temer or 2018 cabinet inversions; ideological results are unchanged.,generated/cabinet_v5/cabinet_inversions.csv; generated/cabinet_v5/cabinet_analysis_periods.csv,numerical; interpretive,A,BLOCKING
Comparing decomposition patterns across coalition domains,2049,Panel A includes all observed cabinet,"Figure~\ref{fig:cross-domain-components} extends the comparison beyond the inverted coalitions. Panel A includes all observed cabinet periods, whereas Panel B includes all minimal connected winning coalitions in the primary ideological domain. The horizontal and vertical coordinates are \(100A_C/q_C\) and \(100B_C/q_C\), respectively. Their sum is \(100(R_C-1)\), so coalitions with the same representation ratio lie along parallel lines with slope \(-1\). The dashed diagonal identifies the particular case \(R_C=1\). The figure therefore shows something that \(R_C\) alone cannot: coalitions with similar overall representation can reach that result through very different balances of within-district and between-district contributions. The diagonal does not identify inversion, which also depends on whether the coalition's proportional quota lies below 257 seats and whether its total differential is sufficient to cross that threshold.",The panel selection now includes a complete primary calendar and explicit uncertainty.,"Panel A uses all 53 primary analytical periods, including mixed/provisional periods; Panel B values are unchanged. State the primary-set scope and connect the V5 provenance flag to interpretation.",generated/cabinet_v5/figure5_panel_a_source.csv; noncabinet_invariance.csv,limitation/provenance,B,IMPORTANT
Comparing decomposition patterns across coalition domains,2064,period lies to the right of,"Panel A shows that a positive within-district component characterizes the observed cabinet domain rather than only the inverted cases. Every cabinet period lies to the right of \(A_C=0\), including the three underrepresented configurations linked to the 2018 election. In those cases, negative between-district contributions more than offset the within-district gain. The inverted cabinets are also not those with the largest \(A_C/q_C\): several non-inverted periods lie farther to the right. A larger within-district contribution therefore increases coalition representation without necessarily changing majority status. Whether it does so depends on how far the coalition's proportional quota lies from 257 seats and on the contribution of \(B_C\).","The positive-A and three-underrepresented-period statements survive, but the primary-set scope and plotted configuration identifiers must be reconciled with the new panel.",A_C>0 in 53/53 periods; B_C>0 in 19; R_C>1 in 50; R_C<1 in 3. Check the updated underrepresented-period labels and compare inversion A_C/q_C with the full regenerated panel.,generated/cabinet_v5/cabinet_analysis_periods.csv,numerical,A,BLOCKING
Discussion,2145,"In 2018, the 238-day","The distinction matters because coalition inversion is configuration-dependent. In 2018, the 238-day PSC-inclusive cabinet period and the PT--PSDB interval both invert, but they combine different party sets. The one-gap robustness check preserves the strongest 2014 and 2022 compositions and outcomes, while 2018 is more sensitive to admissibility: the relaxation yields a stronger inversion, and the all-party universe removes the exact-connected case (Appendix~\ref{app:ideological-robustness}). Observed cabinets and ideologically constrained potential coalitions therefore reveal different majority configurations within the same electoral distribution.",The discussion relies on a removed cabinet episode.,"The 2018 ideological case survives, while no V5 primary cabinet inversion occurs in that election. Reconsider the claimed same-election dual-domain evidence.",generated/cabinet_v5/cabinet_inversions.csv,interpretive,C,BLOCKING
Discussion,2174,timeline shows that relative advantage is common,"At the coalition level, \(R_C\) provides the bridge between party representation and majority status. It is a quota-weighted aggregation of the member-party ratios, not a simple count of overrepresented parties. The cabinet timeline shows that relative advantage is common: 20 of 23 party sets have \(R_C>1\), but only four invert. Majority-changing advantage depends jointly on the size of \(R_C-1\) and on \(q_C\), because the latter fixes how many surplus seats are needed to reach 257. The contrast between the MDB--UNIÃO interval, whose quota is closer to a majority, and the more strongly overrepresented PP--PL interval makes this distinction especially clear.",The discussion repeats the 20/23 and four-inversion totals.,A_C>0 in 53/53 periods; B_C>0 in 19; R_C>1 in 50; R_C<1 in 3. Only two primary analytical periods invert.,generated/cabinet_v5/cabinet_analysis_periods.csv,numerical,A,BLOCKING
Discussion,2209,result. The within-district component is positive,"The decomposition of the exact-connected domain adds a second comparative result. The within-district component is positive in all four observed cabinet inversions and all seven minimal connected inversions. Between-district weighting reinforces it in the PTB--PR, PT--PSDB, MDB--UNIÃO, and PP--PL ideological cases and in the 2016.2 cabinet; it offsets it in the other three 2014 ideological inversions and the remaining cabinet inversions. The balance between components varies even when every case satisfies the same inversion criterion.","The four-case count, cabinet label and cabinet/ideological partition must be updated.",A is positive in both cabinet inversions. B reinforces Dilma and offsets Lula; use the new Dilma identifier 2016.3. Unchanged ideological cases retain their values.,generated/cabinet_v5/cabinet_inversions.csv,numerical; interpretive,A,BLOCKING
Discussion,2280,"addition, the vote share","Two further qualifications remain. Both the exact-connected baseline and the one-gap robustness check condition on a fixed estimated party order. They therefore do not incorporate uncertainty in the ideology estimates themselves; alternative placements may change endpoints, spans, or marginal cases. In addition, the vote share of a cabinet or potential coalition is the sum of votes cast for parties later grouped into that set, not a direct vote for the coalition. The criterion measures coalitional representation; it does not measure voter endorsement, legislative discipline, roll-call support, or portfolio bargaining. The analysis identifies a representational condition, not its public reception or normative legitimacy.",The limitations require explicit primary-assumption and historical-provenance scope.,"4,096 primary days: 3,996 evidence-established and 100 provisional. Both primary inversions use only evidence-established days. Nine unresolved officeholders retain UNKNOWN affiliations; the separate primary assumption contributes no additional party. Recorded concrete sensitivities do not replace unbounded affiliation uncertainty.",generated/cabinet_v5/cabinet_inversions.csv; generated/cabinet_v5/cabinet_sensitivity_results.csv,limitation/provenance,B,IMPORTANT
Conclusion,2302,The empirical comparison is not uniform,"The empirical comparison is not uniform across elections or domains. Four observed cabinet periods invert: two linked to the 2014 election, one 238-day PSC-inclusive period linked to 2018, and the initial Lula cabinet linked to 2022. Inversions also occur among minimal connected winning coalitions in all three elections. PP--PL provides a compact seven-party right-side inversion in 2022, while PT--PSDB has a narrow vote minority in 2018. Relaxing exact connectedness preserves the strongest 2014 and 2022 results and reveals stronger 2018 inversion possibilities, while the all-party sensitivity removes the exact-connected 2018 case.",The conclusion retains two 2014 cases and a 238-day 2018 cabinet inversion.,"53 analytical periods; 2 inversions, Dilma II/2014 (5 days) and Lula III/2022 (255 days); zero primary inversions linked to 2018 or under Temer. The ideological exact-connected and one-gap results remain unchanged.",generated/cabinet_v5/cabinet_inversions.csv,factual,A,BLOCKING
Conclusion,2347,"cabinet coalitions are overrepresented, but only four","The coalition representation ratio clarifies the threshold logic. Most observed cabinet coalitions are overrepresented, but only four combine that advantage with a vote minority and a seat majority. \(R_C\) measures relative advantage, \(d_C\) measures its absolute seat value, and \(q_C\) determines the coalition's proportional distance from 257. Coalition inversion is therefore not synonymous with overrepresentation. It is the subset of overrepresented configurations in which the accumulated seat surplus is majority-changing.",The conclusion repeats the removed cases.,"Two cabinet periods satisfy inversion; retain the mathematical distinction between R, d, q and majority status.",generated/cabinet_v5/cabinet_inversions.csv,numerical,A,BLOCKING
Statements and Declarations,2393,\textbf{Data availability.},"\textbf{Data availability.} For peer review, the data and replication materials are available in an anonymized repository: \url{https://anonymous.4open.science/r/electoral-inversion-B6B5/README.md}. For final publication, the analysis uses public election data from Brazil's Tribunal Superior Eleitoral and cabinet/party classification inputs documented in the replication repository.",The existing generic cabinet-input description does not identify the new released source; this task does not publish or push anything.,Identify the released V5 chronology and compact generated/cabinet_v5 analytical outputs; ensure the cited repository actually contains the updated assets before publication.,generated/cabinet_v5/README.md; provenance.json,limitation/provenance,B,IMPORTANT
Statements and Declarations,2403,\textbf{AI assistance.},\textbf{AI assistance.} ChatGPT was used for copy-editing and to assist with extracting data from Wikipedia. All data used in the analysis were checked by the author.,Wikipedia-only extraction no longer describes the full data workflow.,"Author must review the description of historical research, extraction and downstream assistance and personally verify the author-checking assertion; the pipeline cannot attest to author actions.",CABINET_V5_INTEGRATION_REPORT.md; V5 COMPLETION_REPORT.md,factual; limitation/provenance,B,IMPORTANT
Party contributions to coalition differentials,2426,four cabinet inversions and all twelve,"Table~\ref{tab:coalition-party-contributions} reports the member-party composition of \(d_C\) for the focal cabinet and primary minimal parliamentary inversions. The complete machine-readable output includes all four cabinet inversions and all twelve primary exact-connected \(k=0\) ideological inversions, including the seven minimal cases, together with the all-party sensitivity results.",The cabinet row count is stale.,Contribution tables now select two cabinet inversions; ideological rows remain unchanged. Check the unchanged ideological-count wording independently against its existing source.,generated/cabinet_v5/cabinet_inversions.csv; processing/Processing/output/decomposition/tables/table_coalition_party_contributions.csv,numerical,A,BLOCKING
District contributions to cabinet inversions,2471,contributions to \(A_C\) in the four distinct,"Table~\ref{tab:cabinet-district-components} summarizes the district contributions to \(A_C\) in the four distinct cabinet inversions. Positive and negative sums are calculated separately across districts. Concentration is measured relative to the positive sum, \(\sum_d\max(A_{Cd},0)\), before subtracting negative contributions.",The appendix count no longer matches the regenerated table.,Two distinct cabinet inversion vectors and regenerated district concentration rows.,generated/cabinet_v5/cabinet_inversions.csv; processing/Processing/output/decomposition/tables/table_cabinet_district_concentration.csv,numerical,A,BLOCKING
