file,line,role,text
old_main.tex,475,"other draft, report or archived source",remaining cabinet parties no longer correspond to a national federal-deputy
old_main.tex,477,"other draft, report or archived source",seats. This is the largest observed cabinet inversion in the analysis by seat
old_main.tex,480,"other draft, report or archived source",cabinet party set associated with less than half of the national federal-deputy
old_main.tex,484,"other draft, report or archived source","differential, but it is the more durable Temer-period inversion. The"
old_main.tex,489,"other draft, report or archived source","period. The initial Lula coalition, from January 1 to September 12, 2023, held"
old_main.tex,496,"other draft, report or archived source",The negative case is as important as the positive cases. No observed cabinet
old_main.tex,508,"other draft, report or archived source",\caption{Observed cabinet-period coalition vote shares and seat shares}
old_main.tex,516,"other draft, report or archived source","following the 2014 election, 102 of 1461 covered days are inversion days. In the"
old_main.tex,518,"other draft, report or archived source","available 2022 window, 255 of 1174 covered days are inversion days. Thus, the"
old_main.tex,520,"other draft, report or archived source","concentrated in a short transition window and a later Temer period after 2014,"
old_main.tex,521,"other draft, report or archived source",and in the initial cabinet formation after 2022.
old_main.tex,526,"other draft, report or archived source",The cabinet analysis identifies realized coalitions. The ideological interval
old_main.tex,538,"other draft, report or archived source",subsets and less restrictive than a search over observed cabinets only. It rules
old_main.tex,540,"other draft, report or archived source",party set ever formed a cabinet. It shows whether there are seat-vote inversions
old_main.tex,665,"other draft, report or archived source",The Appendix \ref{app:cabinet-interval-bridge} table reinforces this reading and adds an important political
old_main.tex,667,"other draft, report or archived source","the 2014 election, through Dilma Rousseff's second administration, and again in"
old_main.tex,668,"other draft, report or archived source","the mandate associated with the 2022 election, through Lula's third"
old_main.tex,703,"other draft, report or archived source",The connection between the cabinet results and the interval results is developed
old_main.tex,704,"other draft, report or archived source",in Appendix \ref{app:cabinet-interval-bridge}. The key point is that observed
old_main.tex,705,"other draft, report or archived source",cabinets are not usually contiguous ideological blocs. They are sparse selections
old_main.tex,706,"other draft, report or archived source",from wider ideological spans. The Dilma coalitions are left-anchored but
old_main.tex,708,"other draft, report or archived source","PR, PP, and PTB. The post-impeachment Temer coalitions remain punctured but"
old_main.tex,710,"other draft, report or archived source","The 2023 Lula coalition returns to a left-anchored but very broad structure,"
old_main.tex,711,"other draft, report or archived source",while the compact connected inversion in 2022 is not the Lula cabinet but the
old_main.tex,712,"other draft, report or archived source","right-side PP--PL interval. Thus, the cabinet analysis identifies realized"
old_main.tex,724,"other draft, report or archived source","secondary issue. Cabinets, support bases, and ideological blocs are constructed"
old_main.tex,731,"other draft, report or archived source",the representational object becomes composite. A cabinet coalition can inherit
old_main.tex,737,"other draft, report or archived source",stable cabinet configuration. Its importance lies elsewhere. During that
old_main.tex,738,"other draft, report or archived source","realignment, the remaining cabinet party set no longer corresponded to a"
old_main.tex,740,"other draft, report or archived source",The 2017.1 Temer coalition is the more durable case: 266 seats with 49.91
old_main.tex,746,"other draft, report or archived source",The 2018-linked mandate works as a control case. Bolsonaro's cabinets are absent
old_main.tex,747,"other draft, report or archived source",because the relevant cabinet party sets never reach the Chamber majority
old_main.tex,754,"other draft, report or archived source",direction. Lula's initial cabinet is also an observed inversion. It begins as a
old_main.tex,757,"other draft, report or archived source",interval analysis shows a different structure beneath the cabinet sequence. The
old_main.tex,758,"other draft, report or archived source",most striking connected inversion is not the Lula coalition. It is the PP--PL
old_main.tex,762,"other draft, report or archived source",This contrast is central. The observed cabinet inversions show that vote-minority
old_main.tex,790,"other draft, report or archived source",The last limitation concerns interpretation. The vote share of a cabinet or
old_main.tex,791,"other draft, report or archived source",interval is not a direct vote for that cabinet or interval. It is the sum of votes
old_main.tex,810,"other draft, report or archived source",inversions appear in the impeachment realignment and again in the Temer period.
old_main.tex,811,"other draft, report or archived source","After the 2018 election, observed cabinets remain below the Chamber majority"
old_main.tex,812,"other draft, report or archived source","threshold, so no cabinet inversion appears. After the 2022 election, Lula's"
old_main.tex,813,"other draft, report or archived source","initial cabinet begins as a seat majority without a vote majority, but later"
old_main.tex,814,"other draft, report or archived source",becomes a vote-and-seat majority after cabinet expansion. The ideological
old_main.tex,820,"other draft, report or archived source",inert. Once parties are grouped into cabinets or connected ideological
old_main.tex,827,"other draft, report or archived source","national party blocs, cabinet coalitions, and connected ideological intervals."
old_main.tex,981,"other draft, report or archived source",\section{Cabinet periods and composition}
old_main.tex,990,"other draft, report or archived source",\caption{Cabinet-period composition and transitions}\label{tab:full-cabinet-composition}\\
old_main.tex,1041,"other draft, report or archived source","2022 & 2023.1 & 2023-01-01--2023-09-12 & 255 & 48.89 & 263 & 12.20 & seats only & MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO &  &  \\"
old_main.tex,1067,"other draft, report or archived source",\section{Cabinet coalitions and ideological intervals}
old_main.tex,1068,"other draft, report or archived source",\label{app:cabinet-interval-bridge}
old_main.tex,1070,"other draft, report or archived source",Table \ref{tab:cabinet-interval-bridge} compares observed cabinet coalitions
old_main.tex,1072,"other draft, report or archived source",The connected closure of a cabinet is the smallest no-gap ideological interval
old_main.tex,1073,"other draft, report or archived source",containing all cabinet parties. Gaps are parties inside that closure that are
old_main.tex,1074,"other draft, report or archived source",not members of the cabinet coalition. The final columns report the closest
old_main.tex,1077,"other draft, report or archived source",interval analysis by showing whether realized cabinet coalitions are compact
old_main.tex,1080,"other draft, report or archived source",\input{\ArtifactRoot/latex/table_appendix_cabinet_interval_bridge.tex}
old_main.tex,1082,"other draft, report or archived source",The first result is that no observed cabinet coalition is itself a contiguous
old_main.tex,1083,"other draft, report or archived source",ideological interval. Every cabinet period has gaps inside its connected closure.
old_main.tex,1084,"other draft, report or archived source","The smallest number of gaps is nine, and several cabinet periods have more than"
old_main.tex,1085,"other draft, report or archived source",fifteen. This means that Brazilian cabinet coalitions are not simply connected
old_main.tex,1090,"other draft, report or archived source",This matters for the interpretation of cabinet inversions. The observed cabinet
old_main.tex,1092,"other draft, report or archived source",All connected closures in Table \ref{tab:cabinet-interval-bridge} are
old_main.tex,1093,"other draft, report or archived source","vote-and-seat majorities. The 2016.2 cabinet, for example, has 46.54 percent of"
old_main.tex,1097,"other draft, report or archived source",bloc. It comes from a selective cabinet coalition that retains a seat majority
old_main.tex,1100,"other draft, report or archived source",The same logic applies to the more durable Temer-period inversion. The 2017.1
old_main.tex,1101,"other draft, report or archived source","cabinet contains DEM, PMDB, PP, PPS, PSB, PSD, PSDB, and PV. Its connected"
old_main.tex,1103,"other draft, report or archived source","observed cabinet has 49.91 percent of the vote and 266 seats, while the full"
old_main.tex,1104,"other draft, report or archived source",PSB--DEM closure has 78.42 percent of the vote and 409 seats. The cabinet
old_main.tex,1106,"other draft, report or archived source",center-to-right cabinet coalition located near the connected inversion region
old_main.tex,1111,"other draft, report or archived source",The Dilma coalitions have a different ideological profile from the later
old_main.tex,1112,"other draft, report or archived source","Temer coalitions. They are also sparse, but they are left-anchored. The cabinet"
old_main.tex,1113,"other draft, report or archived source","sets before Temer include PT, PCdoB, and PDT while extending to parties such"
old_main.tex,1116,"other draft, report or archived source",that are not cabinet members. The impeachment transition changes this structure.
old_main.tex,1120,"other draft, report or archived source","entering are concentrated in the center, right, and far right. The cabinet remains"
old_main.tex,1124,"other draft, report or archived source","ideology scale, the average unweighted cabinet ideology rises from the"
old_main.tex,1125,"other draft, report or archived source",pre-Temer sequence to the post-impeachment Temer sequence. The transition from
old_main.tex,1126,"other draft, report or archived source",2016.3 to 2016.4 alone increases the unweighted cabinet ideology mean by 1.53
old_main.tex,1128,"other draft, report or archived source",difference between the two sparse coalition types. The pre-Temer coalitions are
old_main.tex,1129,"other draft, report or archived source",left-anchored and broad. The Temer coalitions are center-to-right and broad.
old_main.tex,1133,"other draft, report or archived source",The Bolsonaro-period cabinets provide the opposite kind of case. They are more
old_main.tex,1136,"other draft, report or archived source","Bolsonaro cabinets do not become seat majorities. The closest case, 2021.3, has"
old_main.tex,1141,"other draft, report or archived source","therefore negative in both senses: no observed cabinet inversion appears, and no"
old_main.tex,1144,"other draft, report or archived source","The 2023.1 Lula cabinet returns to a left-anchored structure, but it is not a"
old_main.tex,1147,"other draft, report or archived source","parties, and has seventeen gaps. The observed cabinet is an inversion, with"
old_main.tex,1152,"other draft, report or archived source",which lies to the right of the cabinet's left anchor.
old_main.tex,1154,"other draft, report or archived source",This comparison is crucial for interpreting the 2022 result. The Lula cabinet is
old_main.tex,1158,"other draft, report or archived source",observed Lula coalition reaches a seat majority through a broad and sparse
old_main.tex,1159,"other draft, report or archived source",cross-ideological cabinet arrangement. The connected interval analysis shows
old_main.tex,1163,"other draft, report or archived source",The two analyses therefore meet at a specific structural point. Cabinet
old_main.tex,1165,"other draft, report or archived source",the seat-vote geometry of ideological blocs. The cabinet-to-interval comparison
old_main.tex,1166,"other draft, report or archived source",shows that realized cabinets may draw on seat asymmetries without being
old_main.tex,1167,"other draft, report or archived source","connected blocs themselves. In 2014, the pre-Temer coalitions are sparse and"
old_main.tex,1168,"other draft, report or archived source","left-anchored, while the Temer coalitions are sparse and shifted rightward. In"
old_main.tex,1169,"other draft, report or archived source","2018, right-side cabinets remain below the seat-majority threshold. In 2022, the"
old_main.tex,1170,"other draft, report or archived source","Lula cabinet is a broad realized inversion, while the compact connected"
old_main.tex,1171,"other draft, report or archived source",inversion lies on the right. The gap between cabinet coalitions and connected
old_main.tex,1173,"other draft, report or archived source",presidentialism combines sparse cabinet construction with an ideological
old_main.tex,1182,"other draft, report or archived source",% \section{Cabinet-party translation rules}\label{app:cabinet-crosswalk}
old_main.tex,1184,"other draft, report or archived source",% Table \ref{tab:cabinet-crosswalk} reports the non-trivial cabinet-label
old_main.tex,1185,"other draft, report or archived source",% translations observed in the generated cabinet translation report.
old_main.tex,1187,"other draft, report or archived source",% Table \ref{tab:cabinet-crosswalk} reports the non-trivial cabinet-label
old_main.tex,1188,"other draft, report or archived source",% translations observed in the generated cabinet translation report. Rows not
old_main.tex,1192,"other draft, report or archived source",% \caption{Non-trivial cabinet-label translations into election-party space}\label{tab:cabinet-crosswalk}\\
old_main.tex,1194,"other draft, report or archived source",% Election & Cabinet label & Election label & Notes \\
old_main.tex,1198,"other draft, report or archived source",% Election & Cabinet label & Election label & Notes \\
old_main.tex,1201,"other draft, report or archived source",% 2014 & MDB & PMDB & Reverts the post-2018 party rename so the cabinet base can be compared with the 2014 election-party space. \\
old_main.tex,1202,"other draft, report or archived source",% 2014 & PL & PR & Reverts the post-2019 party rename so the cabinet base can be compared with the 2014 election-party space. \\
old_main.tex,1203,"other draft, report or archived source",% 2014 & PODE & PTN & Reverts the post-2017 party rename so the cabinet base can be compared with the 2014 election-party space. \\
old_main.tex,1204,"other draft, report or archived source",% 2014 & Republicanos & PRB & Reverts the post-2019 party rename so the cabinet base can be compared with the 2014 election-party space. \\
old_main.tex,1205,"other draft, report or archived source",% 2018 & PL & PR & Reverts the post-2019 party rename so the cabinet base can be compared with the 2018 election-party space. \\
old_main.tex,1206,"other draft, report or archived source",% 2018 & Republicanos & PRB & Reverts the post-2019 party rename so the cabinet base can be compared with the 2018 election-party space. \\
generated/cabinet_v5/tables/table_accounting_focal_cases.tex,11,generated asset,"Cabinet & Cabinet 2014/2016.3 & 46.54 & 259 & 20.271 & 15.742 & 4.529 & A+, B+ \\"
generated/cabinet_v5/tables/table_accounting_focal_cases.tex,12,generated asset,"Cabinet & Cabinet 2022/2023.1 & 48.89 & 263 & 12.204 & 13.196 & -0.992 & A+, B- \\"
generated/cabinet_v5/tables/table_accounting_focal_cases.tex,20,generated asset,"\footnotesize Notes: Cabinet rows include every identified period satisfying the inversion criterion; recurring vectors retain their period identities. The ideological rows are focal endpoint-minimal cases; all minimal connected ideological inversions are reported in Table~\ref{tab:minimal-intervals}. The identities are descriptive, not causal."
generated/cabinet_v5/tables/party_size_diagnostics.tex,1,"other draft, report or archived source","\noindent These are descriptive accounting comparisons, not a causal model of cabinet formation or of party-size effects. Each pooled observation is one election-year party, equally weighted. Cabinet membership uses all V5 primary sets, including 100 flagged provisional days. The underlying unknown affiliations remain unresolved; an absent party could be represented under an unbounded alternative on those dates. The 5\% benchmark is descriptive only, not an electoral threshold or theoretical cutoff. Since $q_i=513v_i/V$, vote share and $q_i$ have identical correlations. Ratios are dimensionless; $A_i$ is measured in seats."
generated/cabinet_v5/tables/party_size_diagnostics.tex,6,"other draft, report or archived source",\caption{Party size by cabinet participation}\label{tab:report-party-size-cabinet} \\
generated/cabinet_v5/tables/party_size_diagnostics.tex,8,"other draft, report or archived source",Election & Ever cabinet & n & Mean vote \% & Median vote \% & Mean q & Median q \\
generated/cabinet_v5/tables/party_size_diagnostics.tex,11,"other draft, report or archived source",\multicolumn{7}{l}{\footnotesize Party size by cabinet participation (continued)} \\
generated/cabinet_v5/tables/party_size_diagnostics.tex,13,"other draft, report or archived source",Election & Ever cabinet & n & Mean vote \% & Median vote \% & Mean q & Median q \\
generated/cabinet_v5/tables/party_size_diagnostics.tex,99,"other draft, report or archived source","Among parties not observed in V5 primary cabinet sets, the largest in each election is SOLIDARIEDADE 2014 (2.76\% of votes); PT 2018 (10.31\% of votes); PL 2022 (16.61\% of votes)."
generated/cabinet_v5/tables/party_size_diagnostics.tex,100,"other draft, report or archived source","\par Among 53 cabinet observations, 53 have positive \(A_C\); \(B_C>0\) in 19. There are 34 distinct election-year party sets. Positive contributions from members with at least 5\% of votes exceed all negative member contributions in 33 sets; they supply 48.23--100.00\% of gross positives. The smallest such remaining balance is -1.23 seats. Net \(A_C\) ranges from 3.34 to 21.41 seats."
generated/cabinet_v5/tables/table_appendix_cabinet_interval_bridge.tex,6,generated asset,\caption{Identified cabinet coalitions and ideological intervals}\label{tab:cabinet-interval-bridge}\\
generated/cabinet_v5/tables/table_appendix_cabinet_interval_bridge.tex,8,generated asset,Election & Period & Cabinet & Ideology summary & Span & Gaps & Closure summary & Minimal winning & Minimal inversion \\
generated/cabinet_v5/tables/table_appendix_cabinet_interval_bridge.tex,12,generated asset,Election & Period & Cabinet & Ideology summary & Span & Gaps & Closure summary & Minimal winning & Minimal inversion \\
generated/cabinet_v5/tables/table_02_cabinet_inversion_tabular.tex,5,generated asset,"2014 & 2016.3 & 5 & 46.54 & 259 & 238.729 & 20.271 & 1.085 & PCdoB, PDT, PMDB, PR, PSD, PT, PTB \\"
generated/cabinet_v5/tables/table_02_cabinet_inversion_tabular.tex,6,generated asset,"2022 & 2023.1 & 255 & 48.89 & 263 & 250.796 & 12.204 & 1.049 & MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO \\"
generated/cabinet_v5/tables/table_02_cabinet_inversion_tabular.tex,9,generated asset,\par\smallskip{\footnotesize V5 primary analytical periods. 2016.3: 5 established and 0 provisional days; 2023.1: 255 established and 0 provisional days.}
generated/cabinet_v5/tables/table_appendix_cabinet_composition.tex,6,generated asset,\caption{V5 cabinet chronology after daily election-year translation and analytical recompression}\label{tab:full-cabinet-composition}\\
generated/cabinet_v5/tables/table_appendix_cabinet_composition.tex,55,generated asset,"2022 & 2023.1 & 2023-01-01--2023-09-12 & 255 & 48.89 & 263 & 12.20 & established & 0 & MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO \\"
generated/cabinet_v5/tables/table_appendix_cabinet_composition.tex,77,generated asset,2015.1 & CV5-001 & dilma\_2-2015-01-01 \\
generated/cabinet_v5/tables/table_appendix_cabinet_composition.tex,78,generated asset,2015.2 & CV5-002 & dilma\_2-2015-03-19 \\
generated/cabinet_v5/tables/table_appendix_cabinet_composition.tex,79,generated asset,2016.1 & CV5-003 & dilma\_2-2016-03-18 \\
generated/cabinet_v5/tables/table_appendix_cabinet_composition.tex,80,generated asset,2016.2 & CV5-004 & dilma\_2-2016-03-31 \\
generated/cabinet_v5/tables/table_appendix_cabinet_composition.tex,81,generated asset,2016.3 & CV5-005 & dilma\_2-2016-04-14 \\
generated/cabinet_v5/tables/table_appendix_cabinet_composition.tex,82,generated asset,2016.4 & CV5-006 & dilma\_2-2016-04-19 \\
generated/cabinet_v5/tables/table_appendix_cabinet_composition.tex,83,generated asset,2016.5 & CV5-007 & temer-2016-05-12 \\
generated/cabinet_v5/tables/table_appendix_cabinet_composition.tex,84,generated asset,2016.6 & CV5-008 & temer-2016-10-10 \\
generated/cabinet_v5/tables/table_appendix_cabinet_composition.tex,85,generated asset,2016.7 & CV5-009 & temer-2016-10-11 \\
generated/cabinet_v5/tables/table_appendix_cabinet_composition.tex,86,generated asset,2016.8 & CV5-010 & temer-2016-10-25 \\
generated/cabinet_v5/tables/table_appendix_cabinet_composition.tex,87,generated asset,2016.9 & CV5-011 & temer-2016-10-26 \\
generated/cabinet_v5/tables/table_appendix_cabinet_composition.tex,88,generated asset,2017.1 & CV5-012 & temer-2017-04-26 \\
generated/cabinet_v5/tables/table_appendix_cabinet_composition.tex,89,generated asset,2017.2 & CV5-013 & temer-2017-04-27 \\
generated/cabinet_v5/tables/table_appendix_cabinet_composition.tex,90,generated asset,2017.3 & CV5-014 & temer-2017-08-02 \\
generated/cabinet_v5/tables/table_appendix_cabinet_composition.tex,91,generated asset,2017.4 & CV5-015 & temer-2017-08-03 \\
generated/cabinet_v5/tables/table_appendix_cabinet_composition.tex,92,generated asset,2017.5 & CV5-016 & temer-2017-10-18 \\
generated/cabinet_v5/tables/table_appendix_cabinet_composition.tex,93,generated asset,2018.1 & CV5-017 & temer-2018-03-21 \\
generated/cabinet_v5/tables/table_appendix_cabinet_composition.tex,94,generated asset,2018.2 & CV5-018 & temer-2018-04-02 \\
generated/cabinet_v5/tables/table_appendix_cabinet_composition.tex,95,generated asset,2018.3 & CV5-019 & temer-2018-04-06; temer-2018-05-15 \\
generated/cabinet_v5/tables/table_appendix_cabinet_composition.tex,96,generated asset,2018.4 & CV5-020 & temer-2018-07-05 \\
generated/cabinet_v5/tables/table_appendix_cabinet_composition.tex,97,generated asset,2019.1 & CV5-021 & bolsonaro-2019-01-01 \\
generated/cabinet_v5/tables/table_appendix_cabinet_composition.tex,98,generated asset,2020.1 & CV5-022 & bolsonaro-2020-02-11 \\
generated/cabinet_v5/tables/table_appendix_cabinet_composition.tex,99,generated asset,2020.2 & CV5-023 & bolsonaro-2020-02-18 \\
generated/cabinet_v5/tables/table_appendix_cabinet_composition.tex,100,generated asset,2020.3 & CV5-024 & bolsonaro-2020-04-16 \\
generated/cabinet_v5/tables/table_appendix_cabinet_composition.tex,101,generated asset,2020.4 & CV5-025 & bolsonaro-2020-04-17 \\
generated/cabinet_v5/tables/table_appendix_cabinet_composition.tex,102,generated asset,2020.5 & CV5-026 & bolsonaro-2020-05-07 \\
generated/cabinet_v5/tables/table_appendix_cabinet_composition.tex,103,generated asset,2020.6 & CV5-027 & bolsonaro-2020-06-17 \\
generated/cabinet_v5/tables/table_appendix_cabinet_composition.tex,104,generated asset,2020.7 & CV5-028 & bolsonaro-2020-06-18 \\
generated/cabinet_v5/tables/table_appendix_cabinet_composition.tex,105,generated asset,2020.8 & CV5-029 & bolsonaro-2020-09-19 \\
generated/cabinet_v5/tables/table_appendix_cabinet_composition.tex,106,generated asset,2020.9 & CV5-030 & bolsonaro-2020-12-09 \\
generated/cabinet_v5/tables/table_appendix_cabinet_composition.tex,107,generated asset,2021.1 & CV5-031 & bolsonaro-2021-02-12 \\
generated/cabinet_v5/tables/table_appendix_cabinet_composition.tex,108,generated asset,2021.2 & CV5-032 & bolsonaro-2021-03-31 \\
generated/cabinet_v5/tables/table_appendix_cabinet_composition.tex,109,generated asset,2021.3 & CV5-033 & bolsonaro-2021-07-28; bolsonaro-2022-02-08 \\
generated/cabinet_v5/tables/table_appendix_cabinet_composition.tex,110,generated asset,2022.1 & CV5-034 & bolsonaro-2022-03-24 \\
generated/cabinet_v5/tables/table_appendix_cabinet_composition.tex,111,generated asset,2022.2 & CV5-035 & bolsonaro-2022-03-27 \\
generated/cabinet_v5/tables/table_appendix_cabinet_composition.tex,112,generated asset,2022.3 & CV5-036 & bolsonaro-2022-03-28 \\
generated/cabinet_v5/tables/table_appendix_cabinet_composition.tex,113,generated asset,2022.4 & CV5-037 & bolsonaro-2022-03-30 \\
generated/cabinet_v5/tables/table_appendix_cabinet_composition.tex,114,generated asset,2022.5 & CV5-038 & bolsonaro-2022-03-31 \\
generated/cabinet_v5/tables/table_appendix_cabinet_composition.tex,115,generated asset,2022.6 & CV5-039 & bolsonaro-2022-05-11 \\
generated/cabinet_v5/tables/table_appendix_cabinet_composition.tex,116,generated asset,2022.7 & CV5-040 & bolsonaro-2022-12-30 \\
